org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
120Hz,2,1,0,1,1,2,0
14.6형으로,0,5,0,2,0,0,1
256GB,2,1,0,1,1,2,0
2차,1,0,4,2,3,1,1
30g가량,0,5,0,2,0,0,1
3년간,3,1,4,4,3,3,3
4차,4,0,2,1,2,2,0
5.1mm,0,5,0,2,0,0,1
5.5세대,3,1,2,2,1,4,2
5000억위안,3,1,4,4,3,3,3
6개사,3,0,2,1,1,4,3
agreement,3,0,2,2,2,2,1
AI,12,12,32,23,26,14,16
AI로,0,1,3,2,2,0,2
AI전략정책관,1,2,3,2,2,1,1
and,3,0,2,2,2,2,1
aw,3,0,2,2,2,2,1
BMW,2,0,1,2,0,3,2
BOE,6,2,6,6,4,7,5
BP,3,1,2,2,1,4,2
C5100,1,2,1,1,2,1,1
CC,1,4,3,3,4,2,1
City,3,0,2,2,2,2,1
CTO,0,1,3,2,3,1,2
DT,2,1,4,3,2,3,0
EFEPR,3,1,2,3,3,6,4
email,2,1,2,2,2,3,3
EPR,1,0,0,1,1,3,1
EX30CC,1,4,3,3,4,2,1
HLB이노베이션,4,2,2,5,1,2,3
IPC,3,1,4,4,3,3,3
IT,3,0,2,2,2,2,1
LCD,3,1,2,2,1,4,2
LED,7,3,3,5,1,7,4
LG디스플레,2,0,1,2,0,3,2
LG전자,4,2,1,3,0,3,2
Mayor,3,0,2,2,2,2,1
ODMR,1,0,0,1,1,3,1
of,4,0,2,3,3,5,2
OLED,5,1,3,4,1,7,4
picglobal,2,1,4,3,2,3,0
protected,2,1,2,2,2,3,3
RGB,4,2,1,3,0,3,2
School,1,0,0,1,1,3,1
Seongnam,3,0,2,2,2,2,1
SK,2,1,4,3,2,3,0
SK가스,2,1,4,3,2,3,0
SK어드밴스드,2,1,4,3,2,3,0
SK에너지,2,1,4,3,2,3,0
SK케미칼,2,1,4,3,2,3,0
Summer,1,0,0,1,1,3,1
S펜,0,5,0,2,0,0,1
the,3,0,2,2,2,2,1
TV사업부,4,2,1,3,0,3,2
UGPS,2,1,4,3,2,3,0
Wroc,3,0,2,2,2,2,1
가격인하,2,1,0,1,1,2,0
가능하다.,1,1,2,5,1,2,1
가장,1,4,3,3,4,2,1
각각각,3,2,4,4,5,2,4
감소,0,5,0,2,0,0,1
강력한,1,4,3,3,4,2,1
개발,0,1,3,2,3,1,2
갤럭시,0,5,0,2,0,0,1
거대언어모델,0,1,3,2,2,0,2
건축정보,1,1,4,3,3,2,0
건축직,1,1,4,3,3,2,0
것으로,7,5,4,6,3,6,3
것이,1,3,3,1,3,1,3
결정,2,1,4,3,2,1,3
경제협력,3,0,2,2,2,2,1
계획이다.,3,1,4,4,3,3,3
고도화,2,1,4,3,2,3,0
고위급,4,0,2,1,2,2,0
공공기관,1,0,4,2,3,1,1
공동,3,1,8,5,5,4,1
공모,0,2,3,5,3,1,3
공장,3,1,4,4,3,3,3
공직자들,1,1,4,3,3,2,0
과기정통부,1,2,3,2,2,1,1
과제,1,3,5,10,4,3,4
광산구,1,1,4,3,3,2,0
교수,0,1,3,2,2,0,2
국가,2,2,7,4,5,2,2
국립한밭대,2,1,2,2,2,3,3
국립한밭대학교,2,1,2,2,2,3,3
규제,5,3,8,7,7,3,7
균형발전,1,0,4,2,3,1,1
그는,2,1,4,3,2,1,3
그룹,2,0,1,2,0,3,2
금지,4,0,2,1,2,2,0
기능,1,2,3,2,2,1,1
기반,3,2,4,4,5,2,4
기본형,2,1,0,1,1,2,0
기업으로,7,2,2,5,2,5,5
기업인,2,1,4,3,2,1,3
기자,6,2,10,12,7,8,4
기조,0,1,3,2,2,0,2
냈다.,3,0,2,1,1,4,3
넘어,0,1,3,2,2,0,2
노트북,0,5,0,2,0,0,1
뉴시스,2,1,2,2,2,3,3
달빛동맹,1,0,4,2,3,1,1
대응,1,0,4,2,3,1,1
대전,2,1,2,2,2,3,3
대통령,2,1,4,3,2,1,3
대폭,1,2,3,2,2,1,1
대표적,2,0,3,2,3,1,1
대학,1,3,5,10,4,3,4
대한,4,0,2,1,2,2,0
데이터,2,1,4,3,2,1,3
도시,1,0,4,2,3,1,1
두께에,0,5,0,2,0,0,1
두산로보틱스,0,1,3,2,3,1,2
등에,2,0,1,2,0,3,2
등이,3,0,2,1,1,4,3
등이다.,3,0,0,0,1,3,2
디멘시티,0,5,0,2,0,0,1
디스플레,10,6,11,19,7,12,11
로봇,3,3,7,6,8,3,6
마이크로,8,6,8,15,5,10,8
만인계획,2,0,3,2,3,1,1
말했다.,4,1,7,5,5,2,4
맞물려,2,1,0,1,1,2,0
매출,3,1,4,4,3,3,3
매출액,3,0,0,0,1,3,2
메가존클라우드,1,3,3,1,3,1,3
모델,5,3,7,7,6,5,5
무게,0,5,0,2,0,0,1
물류,3,2,4,4,5,2,4
미국,4,0,2,1,2,2,0
미니,3,1,2,2,1,4,2
미디어,1,3,3,1,3,1,3
미래에셋비전기업인수목적11호,3,0,0,0,1,3,2
민주당,2,0,3,2,3,1,1
박사과정생,1,0,0,1,1,3,1
반도체,8,3,7,8,5,4,5
반독점,4,0,2,1,2,2,0
발견됐다고,4,0,2,1,2,2,0
발광,1,0,0,1,1,3,1
발굴,2,1,3,2,2,2,1
발표했다.,4,0,2,1,2,2,0
밝혔다.,7,2,8,6,5,8,9
방안,1,0,4,2,3,1,1
배임죄로,2,1,4,3,2,1,3
별로,2,1,4,3,2,1,3
보안,1,2,1,1,2,1,1
복합기,1,2,1,1,2,1,1
볼보,1,4,3,3,4,2,1
부문,3,2,4,4,5,2,4
부채총계,3,0,0,0,1,3,2
부처,1,2,3,2,2,1,1
부품,4,2,2,5,1,2,3
분야,1,0,4,2,3,1,1
브로츠와프,3,0,2,2,2,2,1
브로츠와프시,3,0,2,2,2,2,1
비용,1,3,3,1,3,1,3
비자,2,0,3,2,3,1,1
빌드업,2,1,2,2,2,3,3
사례로,1,1,4,3,3,2,0
사업,7,4,6,9,6,4,7
사전주문,2,1,0,1,1,2,0
사진,2,0,3,2,3,1,1
산업,5,8,11,13,9,4,11
삼성,2,0,1,2,0,3,2
삼성디스플레이,3,3,6,12,4,6,6
삼성전자,4,3,4,5,2,3,4
상장,3,0,0,0,1,3,2
상장예비심사,3,0,2,1,1,4,3
새롭게,1,2,1,1,2,1,1
생산,3,1,2,2,1,4,2
생성형,0,1,3,2,2,0,2
생태계,2,0,3,2,3,1,1
서비스,6,2,4,4,6,5,6
선호도,2,1,0,1,1,2,0
설루션,0,1,3,2,3,1,2
성과,2,1,3,2,2,2,1
성남시,3,0,2,2,2,2,1
성능,3,5,3,4,5,4,1
세라믹,4,2,2,5,1,2,3
소자,1,0,0,1,1,3,1
소재,4,2,2,5,1,2,3
솔루션,4,5,7,5,8,3,7
수준,0,5,0,2,0,0,1
수출,4,0,2,1,2,2,0
스캔,1,2,1,1,2,1,1
스퍼터,3,1,2,2,1,4,2
스핀,1,0,0,1,1,3,1
승차감,1,4,3,3,4,2,1
시리즈,3,3,1,2,3,3,1
시사캐스트,0,2,3,5,3,1,3
신제품,1,2,1,1,2,1,1
신직업,2,1,2,2,2,3,3
신청서,3,0,2,1,1,4,3
씨엠디엘,3,0,0,0,1,3,2
아이디어,0,2,3,5,3,1,3
알려졌다.,1,2,3,2,2,1,1
업무,1,2,1,1,2,1,1
업체,4,2,1,3,0,3,2
없다,2,1,4,3,2,1,3
에이전틱,0,1,3,2,2,0,2
엑셈,3,2,4,4,5,2,4
엔비디아,4,0,2,1,2,2,0
역량,2,1,3,2,2,2,1
연계,2,1,3,2,2,2,1
연구,2,4,8,13,7,6,7
연구비,1,1,2,5,1,2,1
연필모양으로,0,5,0,2,0,0,1
영상,1,3,3,1,3,1,3
영업이익,3,0,2,1,1,4,3
오르도스,3,1,2,2,1,4,2
오창훈,0,1,3,2,3,1,2
오프로드,1,4,3,3,4,2,1
외국인,2,0,3,2,3,1,1
운영사,2,1,3,2,2,2,1
운영사로,2,1,3,2,2,2,1
운전자,1,4,3,3,4,2,1
울산,2,1,4,3,2,3,0
울트라,0,5,0,2,0,0,1
원데,2,1,2,2,2,3,3
원스톱,0,1,3,2,3,1,2
위한,3,1,2,2,1,4,2
위해,3,1,2,3,3,6,4
유망,2,1,3,2,2,2,1
유주엽,2,0,1,2,0,3,2
육각형,0,5,0,2,0,0,1
의원,2,0,3,2,3,1,1
의존적,1,0,0,1,1,3,1
이노베이션,0,1,3,2,3,1,2
이미지포스,1,2,1,1,2,1,1
이번,3,3,6,8,6,6,5
이전,1,0,4,2,3,1,1
이주선,1,1,2,5,1,2,1
인쇄,1,2,1,1,2,1,1
인재,3,2,6,4,5,2,2
있다.,17,11,13,15,13,11,13
있도록,1,4,3,3,4,2,1
있습니다.,2,0,1,2,0,3,2
자기자본,3,0,0,0,1,3,2
자동차,2,0,1,2,0,3,2
자동화,3,2,4,4,5,2,4
자산총계,3,0,0,0,1,3,2
자체,1,1,4,3,3,2,0
장관,1,2,3,2,2,1,1
장비,10,5,8,11,7,8,9
장은정,1,0,0,1,1,3,1
전기차,6,2,3,7,1,5,5
전략,0,1,3,2,2,0,2
전력반도체,4,2,2,5,1,2,3
전무,0,1,3,2,3,1,2
점유율,4,2,1,3,0,3,2
