org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
AMD,40.53 (0%),78.33 (1%),132.39 (1%),79.76 (1%),26.69 (1%),11.63 (0%),32.95 (1%),51.01 (1%)
ASUS,49.62 (1%),48.52 (1%),74.17 (1%),30.94 (0%),6.67 (0%),5.43 (0%),10.75 (0%),13.28 (0%)
AUO,5.59 (0%),1.39 (0%),6.93 (0%),2.06 (0%),2.97 (0%),2.33 (0%),0.72 (0%),5.59 (0%)
Acer,44.03 (1%),38.82 (1%),67.24 (0%),23.38 (0%),2.97 (0%),1.55 (0%),10.03 (0%),9.78 (0%)
BMW,33.54 (0%),49.21 (1%),52.68 (0%),43.32 (1%),8.90 (0%),5.43 (0%),16.48 (0%),16.77 (0%)
BOE,524.11 (6%),310.53 (5%),726.42 (5%),237.90 (3%),120.10 (3%),96.13 (2%),53.01 (2%),143.26 (2%)
BYD,34.24 (0%),31.88 (0%),79.02 (1%),41.25 (1%),14.09 (0%),3.88 (0%),17.91 (1%),11.88 (0%)
Bosch,,0.69 (0%),1.39 (0%),0.69 (0%),1.48 (0%),1.55 (0%),0.72 (0%),2.10 (0%)
CES,96.44 (1%),76.94 (1%),208.64 (1%),66.69 (1%),46.71 (1%),62.79 (2%),113.19 (3%),85.95 (1%)
CSOT,322.85 (4%),180.22 (3%),432.52 (3%),121.01 (2%),77.84 (2%),72.09 (2%),26.51 (1%),97.83 (2%)
Corning,0.70 (0%),0.69 (0%),2.08 (0%),1.38 (0%),0.74 (0%),,,0.70 (0%)
Counterpoint,2.10 (0%),2.08 (0%),4.85 (0%),5.50 (0%),4.45 (0%),1.55 (0%),1.43 (0%),3.49 (0%)
DELL,,0.69 (0%),1.39 (0%),0.69 (0%),,,0.72 (0%),0.70 (0%)
DSCC,2.80 (0%),2.08 (0%),4.85 (0%),0.69 (0%),1.48 (0%),1.55 (0%),0.72 (0%),1.40 (0%)
Dell,43.33 (1%),39.51 (1%),69.31 (0%),25.44 (0%),4.45 (0%),3.10 (0%),10.75 (0%),11.18 (0%)
ETRI,18.87 (0%),8.32 (0%),29.81 (0%),6.19 (0%),2.22 (0%),3.88 (0%),2.15 (0%),6.29 (0%)
HMI,4.89 (0%),3.47 (0%),10.40 (0%),1.38 (0%),0.74 (0%),,0.72 (0%),1.40 (0%)
HP,129.98 (2%),95.65 (1%),140.02 (1%),53.63 (1%),12.60 (0%),5.43 (0%),17.19 (1%),23.76 (0%)
Harman,5.59 (0%),4.16 (0%),16.64 (0%),7.56 (0%),4.45 (0%),0.78 (0%),5.01 (0%),9.08 (0%)
IEC,17.47 (0%),16.64 (0%),29.11 (0%),29.57 (0%),11.86 (0%),5.43 (0%),16.48 (0%),31.45 (1%)
IEEE,0.70 (0%),1.39 (0%),3.47 (0%),4.81 (0%),,,2.87 (0%),2.80 (0%)
IMID,39.13 (0%),20.79 (0%),54.07 (0%),21.31 (0%),6.67 (0%),6.20 (0%),7.88 (0%),17.47 (0%)
ITU,13.28 (0%),18.02 (0%),43.67 (0%),22.69 (0%),19.28 (0%),11.63 (0%),10.03 (0%),58.00 (1%)
IoT,78.97 (1%),83.87 (1%),194.08 (1%),125.14 (2%),76.36 (2%),79.07 (2%),87.40 (3%),120.89 (2%)
JDI,22.36 (0%),13.86 (0%),30.50 (0%),17.19 (0%),8.90 (0%),3.88 (0%),4.30 (0%),7.69 (0%)
KAIST,17.47 (0%),18.71 (0%),38.82 (0%),17.19 (0%),8.15 (0%),5.43 (0%),13.61 (0%),13.28 (0%)
LG디스플레이,758.21 (9%),447.77 (7%),1107.65 (8%),340.35 (5%),195.72 (4%),164.34 (4%),206.32 (6%),245.98 (4%)
LG전자,613.56 (7%),627.30 (9%),1459.07 (10%),796.21 (11%),800.66 (17%),1582.98 (39%),451.33 (13%),879.11 (15%)
LG화학,47.52 (1%),56.84 (1%),169.82 (1%),74.95 (1%),42.26 (1%),47.29 (1%),35.10 (1%),41.93 (1%)
MWC,6.29 (0%),4.85 (0%),12.48 (0%),11.00 (0%),6.67 (0%),0.78 (0%),4.30 (0%),4.19 (0%)
Merck,2.80 (0%),2.08 (0%),3.47 (0%),0.69 (0%),,,,0.70 (0%)
SID,67.78 (1%),32.58 (0%),126.15 (1%),11.00 (0%),3.71 (0%),3.10 (0%),85.97 (3%),8.39 (0%)
SK하이닉스,136.97 (2%),130.31 (2%),374.30 (3%),152.64 (2%),86.00 (2%),52.71 (1%),80.24 (2%),109.71 (2%)
Semiconductor,13.28 (0%),9.01 (0%),29.11 (0%),11.00 (0%),3.71 (0%),3.10 (0%),5.73 (0%),7.69 (0%)
TCL,198.46 (2%),153.88 (2%),480.35 (3%),185.65 (3%),169.03 (4%),243.42 (6%),68.77 (2%),262.05 (4%)
TSMC,18.17 (0%),27.73 (0%),64.46 (0%),37.13 (1%),10.38 (0%),1.55 (0%),16.48 (0%),17.47 (0%)
Tianma,25.16 (0%),15.94 (0%),40.20 (0%),3.44 (0%),4.45 (0%),3.10 (0%),2.87 (0%),4.19 (0%)
Toray,4.19 (0%),2.77 (0%),7.62 (0%),4.13 (0%),2.22 (0%),,1.43 (0%),0.70 (0%)
UDC,11.88 (0%),9.70 (0%),14.56 (0%),1.38 (0%),2.22 (0%),1.55 (0%),,1.40 (0%)
UL,28.65 (0%),24.95 (0%),58.22 (0%),28.88 (0%),24.46 (1%),17.83 (0%),12.18 (0%),52.41 (1%)
V2X,41.23 (0%),27.03 (0%),87.34 (1%),22.00 (0%),14.83 (0%),12.40 (0%),10.03 (0%),19.57 (0%)
Visionox,49.62 (1%),29.11 (0%),78.33 (1%),24.07 (0%),8.15 (0%),2.33 (0%),5.73 (0%),11.18 (0%)
구글,101.60 (1%),165.99 (2%),335.92 (2%),329.30 (3%),107.79 (2%),34.25 (1%),126.62 (3%),153.40 (2%)
기아,101.77 (1%),100.94 (1%),166.06 (1%),92.86 (1%),46.14 (1%),19.12 (0%),42.07 (1%),45.96 (1%)
기아차,0.82 (0%),0.81 (0%),,2.42 (0%),,,0.84 (0%),
