date,types,title,url
2025-10-09,"INVEST,LAUNCH","삼성·LG디스플레이 '미래 모빌리티'서 새 먹거리 찾아, '차량용  OLED ' 각...",https://www.businesspost.co.kr/BP?command=article_view&num=414799
2025-10-08,"LAUNCH,ORDER","삼성디스플레이, 애플 폴더블 아이폰용  OLED 패널  독점 공급권 확보",https://www.autodaily.co.kr/news/articleView.html?idxno=537448
2025-10-08,"INVEST,LAUNCH,PARTNERSHIP",“중국TV 쓰기 좀 불안한데”…삼성전자 반격의 열쇠 된 ‘이 기술’,https://www.mk.co.kr/article/11437375
2025-10-08,"INVEST,LAUNCH,ORDER","中 LCD 휩쓸자 … 삼성,  OLED  TV로 돌파구",https://www.mk.co.kr/article/11437289
2025-10-08,"CERT,INVEST,LAUNCH,ORDER,PARTNERSHIP","뉴로메카, ‘2028년 147조’ 中 시장 노린다...LTOM 그룹과 합작법인 설...",https://www.hellot.net/news/article.html?no=106079
2025-10-08,LAUNCH,"LG 올레드 TV, ""'기술 복리효과'로 왕좌 유지할 듯""",http://www.fnnews.com/news/202510081346500509
2025-10-08,LAUNCH,"""10년 넘게 쌓아온 기술력 복리 효과… LG 올레드 TV왕좌 굳건""",http://www.biztribune.co.kr/news/articleView.html?idxno=341303
2025-10-08,"INVEST,LAUNCH","'스마트폰에 노트북까지' 판커진  OLED …삼성·LGD, 기회 온다",https://www.mt.co.kr/industry/2025/10/08/2025100215504710040
2025-10-08,LAUNCH,"""기술의 복리 효과"" LG 올레드( OLED ) TV, 10년 넘게 세계 선두 굳건",https://www.upkoreanews.kr/news/articleView.html?idxno=95773
2025-10-08,LAUNCH,"삼성전자 'XR 헤드셋', 이달 출격…흥행 불씨 살린다",https://www.newsway.co.kr/news/view?ud=2025100223254697743
2025-10-08,"INVEST,LAUNCH",LG디스플레이 “한국 디스플레이 미래는  OLED …기술 리더십 강화할 것”,https://www.inthenews.co.kr/news/article.html?no=77803
2025-10-08,LAUNCH,"[초점] 삼성디스플레이, 애플 첫 폴더블 아이폰  OLED  독점 공급",https://www.g-enews.com/view.php?ud=202510080748115256fbbec65dfb_1
2025-10-08,LAUNCH,"""LG 올레드 TV, 10년 넘은 기술 '복리효과'로 선두 유지할 것""",https://www.yna.co.kr/view/AKR20251002163000003?input=1195m
2025-10-08,INVEST,[위기의 한국 TV]① 中 기업이 점유율 추월…가격 경쟁 불가항력,https://www.news1.kr/industry/general-industry/5935169
2025-10-07,"INVEST,LAUNCH","BOE ""올해 상반기  OLED  7100만장 출하""",http://www.thelec.kr/news/articleView.html?idxno=41884
2025-10-07,"ORDER,PARTNERSHIP","탑런토탈솔루션, LG디스플레이 검사장비 첫 수주…밸류체인 확장 시동",https://www.newsis.com/view/NISX20251002_0003354313
2025-10-07,"LAUNCH,PARTNERSHIP","[K산업의 저력]LG전자, 특화 제품으로 유럽 시장 승부수",https://www.asiatime.co.kr/article/20250929500464
2025-10-07,"CERT,INVEST,LAUNCH",애플 폴더블 폰 출시...K-디스플레이 업계 기대감↑,https://www.mediapen.com/news/view/1047834
2025-10-07,LAUNCH,"""늙고 느려"" 중국 빠른 추격에 TV가 흔들린다…LG·삼성 TV 체질 개선 속...",https://www.sedaily.com/NewsView/2GZ33DB229
