org,topic_0,topic_1,topic_10,topic_11,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,,0.83 (0%),1.11 (0%),2.25 (1%),,,2.13 (0%),5.69 (1%),,13.01 (3%),2.13 (0%),3.51 (1%)
ASUS,,,,,1.46 (0%),2.05 (1%),3.56 (1%),2.13 (0%),8.18 (2%),1.37 (0%),1.42 (0%),1.40 (0%)
BOE,,8.31 (3%),,,18.25 (4%),11.64 (3%),38.40 (6%),12.09 (2%),27.82 (7%),,22.76 (3%),14.74 (3%)
BYD,1.86 (2%),,,,3.65 (1%),0.68 (0%),0.71 (0%),,,2.05 (0%),1.42 (0%),2.11 (0%)
CES,,0.83 (0%),,1.50 (1%),0.73 (0%),0.68 (0%),0.71 (0%),2.13 (0%),,1.37 (0%),,0.70 (0%)
CSOT,,4.15 (1%),,,9.49 (2%),,21.33 (3%),5.69 (1%),13.09 (3%),4.11 (1%),13.51 (2%),4.91 (1%)
HMI,,0.83 (0%),,1.50 (1%),,2.74 (1%),,0.71 (0%),,0.68 (0%),1.42 (0%),0.70 (0%)
HP,,1.66 (1%),3.33 (0%),1.50 (1%),,,4.27 (1%),5.69 (1%),4.09 (1%),2.74 (1%),4.27 (0%),
Harman,2.80 (3%),,1.11 (0%),3.00 (1%),2.19 (0%),2.74 (1%),,2.13 (0%),1.64 (0%),,,2.11 (0%)
IoT,4.66 (4%),,,6.75 (3%),4.38 (1%),7.53 (2%),,7.11 (1%),,6.84 (1%),10.67 (1%),3.51 (1%)
JDI,,0.83 (0%),1.11 (0%),,0.73 (0%),1.37 (0%),2.13 (0%),0.71 (0%),1.64 (0%),,2.13 (0%),
LG디스플레이,,,133.25 (16%),,34.32 (7%),,64.00 (9%),32.00 (6%),50.74 (13%),21.90 (4%),53.34 (6%),35.80 (7%)
LG전자,,39.05 (13%),132.14 (16%),,73.75 (15%),,50.49 (7%),49.78 (9%),42.55 (11%),,64.00 (7%),38.61 (8%)
LG화학,,,132.14 (16%),11.25 (4%),18.98 (4%),,19.20 (3%),16.36 (3%),,21.90 (4%),32.00 (4%),21.06 (4%)
SK하이닉스,,10.80 (4%),,,13.87 (3%),19.17 (5%),20.62 (3%),24.18 (4%),,25.33 (5%),57.60 (7%),10.53 (2%)
Semiconductor,0.93 (1%),,,,,0.68 (0%),,0.71 (0%),,1.37 (0%),1.42 (0%),0.70 (0%)
TCL,3.73 (3%),,,,12.41 (3%),,7.82 (1%),6.40 (1%),6.55 (2%),4.79 (1%),6.40 (1%),4.21 (1%)
Tianma,,,,0.75 (0%),1.46 (0%),2.05 (1%),7.82 (1%),0.71 (0%),3.27 (1%),2.05 (0%),6.40 (1%),
V2X,,1.66 (1%),,2.25 (1%),2.92 (1%),2.74 (1%),2.84 (0%),4.27 (1%),,5.48 (1%),9.96 (1%),
Visionox,,,,0.75 (0%),2.92 (1%),3.42 (1%),16.36 (2%),0.71 (0%),6.55 (2%),4.11 (1%),14.93 (2%),
구글,,,,15.74 (6%),16.08 (3%),34.46 (8%),18.65 (3%),26.85 (5%),,20.82 (4%),34.31 (4%),27.98 (5%)
기아,,6.65 (2%),,,6.57 (1%),9.58 (2%),12.80 (2%),11.38 (2%),8.18 (2%),12.32 (2%),30.58 (4%),
네이버,,,62.19 (7%),,11.68 (2%),8.90 (2%),12.09 (2%),9.25 (2%),,10.27 (2%),14.22 (2%),14.04 (3%)
두산로보틱스,,2.49 (1%),129.92 (15%),,10.95 (2%),,8.53 (1%),6.40 (1%),,9.58 (2%),7.82 (1%),14.74 (3%)
디지타임스,,,,2.25 (1%),1.46 (0%),2.05 (1%),4.98 (1%),1.42 (0%),1.64 (0%),,2.84 (0%),2.11 (0%)
마이크로소프트,0.93 (1%),,,0.75 (0%),1.46 (0%),1.37 (0%),,3.56 (1%),,1.37 (0%),3.56 (0%),3.51 (1%)
메타,,4.57 (1%),,5.77 (2%),5.62 (1%),12.03 (3%),,17.19 (3%),,21.06 (4%),9.38 (1%),20.06 (4%)
미디어텍,3.73 (3%),,,4.50 (2%),2.92 (1%),4.11 (1%),,4.98 (1%),,4.11 (1%),6.40 (1%),2.81 (1%)
비보,,4.15 (1%),,2.25 (1%),3.65 (1%),4.11 (1%),4.27 (1%),1.42 (0%),1.64 (0%),,,4.21 (1%)
삼성디스플레이,,20.77 (7%),,,21.91 (4%),,53.34 (8%),29.16 (5%),31.10 (8%),19.17 (4%),59.03 (7%),22.47 (5%)
삼성전자,,,120.02 (13%),,82.79 (16%),,107.76 (15%),88.92 (15%),64.16 (16%),79.06 (15%),159.00 (17%),75.88 (14%)
샤오미,,5.82 (2%),,6.00 (2%),14.60 (3%),10.27 (3%),9.25 (1%),8.53 (2%),,,6.40 (1%),9.13 (2%)
샤프,,3.32 (1%),,3.75 (1%),5.84 (1%),2.74 (1%),7.11 (1%),2.13 (0%),5.73 (1%),,,3.51 (1%)
선익시스템,,0.83 (0%),,0.75 (0%),2.19 (0%),,7.11 (1%),0.71 (0%),4.91 (1%),1.37 (0%),7.82 (1%),
소니,2.80 (3%),,,,2.19 (0%),2.05 (1%),2.13 (0%),2.84 (1%),,1.37 (0%),4.98 (1%),2.11 (0%)
아마존,2.80 (3%),,,3.75 (1%),2.19 (0%),4.11 (1%),,4.27 (1%),1.64 (0%),2.05 (0%),,4.21 (1%)
아이씨디,,,,0.75 (0%),,1.37 (0%),7.82 (1%),,3.27 (1%),2.74 (1%),10.67 (1%),
알파벳,,,1.11 (0%),3.75 (1%),,2.05 (1%),2.13 (0%),8.53 (2%),,16.43 (3%),3.56 (0%),6.32 (1%)
애플,,,,,36.03 (7%),51.03 (12%),74.67 (10%),62.72 (11%),34.37 (9%),54.62 (10%),57.50 (6%),89.19 (17%)
엔비디아,,1.66 (1%),,2.25 (1%),2.19 (0%),2.74 (1%),,5.69 (1%),,6.84 (1%),4.98 (1%),5.62 (1%)
오포,,2.49 (1%),,1.50 (1%),3.65 (1%),4.11 (1%),2.84 (0%),1.42 (0%),,,2.13 (0%),2.81 (1%)
원익IPS,,,,,,1.37 (0%),3.56 (1%),,2.45 (1%),2.05 (0%),7.82 (1%),
