term,cur,prev,diff,ma7,z_like,total
사장,12,0,12,1.714,4.454,12
양산,9,0,9,1.286,3.615,9
이청,9,0,9,1.286,3.615,9
삼성d,11,1,10,2.143,3.595,15
lgd,10,1,9,1.714,3.588,13
실적,9,1,8,1.429,3.449,11
하반기,9,0,9,1.571,3.296,13
정철동,7,0,7,1.0,3.0,7
6세대,7,0,7,1.143,2.831,8
3분기,6,0,6,0.857,2.67,6
led,6,0,6,0.857,2.67,8
마이크로,6,0,6,0.857,2.67,7
lg디스플레이,5,0,5,0.714,2.323,7
자신감,5,0,5,0.857,2.151,6
체험존,5,0,5,0.857,2.151,6
2030년,4,0,4,0.571,1.953,4
개선,4,0,4,0.571,1.953,4
디스플레이의,4,0,4,0.571,1.953,4
류현진,4,0,4,0.571,1.953,4
스마트워치,4,0,4,0.571,1.953,4
윤성빈,4,0,4,0.571,1.953,4
전환,4,0,4,0.571,1.953,7
클레녹스,4,0,4,0.571,1.953,4
전망,4,0,4,0.714,1.781,7
흑자,4,0,4,0.714,1.781,5
운영,5,1,4,1.286,1.741,10
6g,3,0,3,0.429,1.554,3
clenox,3,0,3,0.429,1.554,3
기부,3,0,3,0.429,1.554,3
도쿄게임쇼,3,0,3,0.429,1.554,3
무실점,3,0,3,0.429,1.554,3
수장,3,0,3,0.429,1.554,3
수장들,3,0,3,0.429,1.554,3
양로원,3,0,3,0.429,1.554,3
연간,3,0,3,0.429,1.554,3
윤수영,3,0,3,0.429,1.554,3
제16회,3,0,3,0.429,1.554,3
쿠팡로지스틱스서비스,3,0,3,0.429,1.554,3
특허,3,0,3,0.429,1.554,4
포토,3,0,3,0.429,1.554,3
2분기,3,1,2,0.571,1.383,4
최초,3,1,2,0.571,1.383,6
스냅드래곤,3,0,3,0.714,1.239,5
프리미엄,3,0,3,0.714,1.239,6
12억달러,2,0,2,0.286,1.117,2
12억불,2,0,2,0.286,1.117,2
1b,2,0,2,0.286,1.117,2
2025서,2,0,2,0.286,1.117,2
3617,2,0,2,0.286,1.117,2
6회까지,2,0,2,0.286,1.117,2
complex,2,0,2,0.286,1.117,2
gv90,2,0,2,0.286,1.117,2
md포토,2,0,2,0.286,1.117,2
nb,2,0,2,0.286,1.117,2
rgb,2,0,2,0.286,1.117,5
긍정적,2,0,2,0.286,1.117,2
기회로,2,0,2,0.286,1.117,2
도쿄게임쇼서,2,0,2,0.286,1.117,2
롤러블,2,0,2,0.286,1.117,2
릴레이,2,0,2,0.286,1.117,2
맞설,2,0,2,0.286,1.117,2
무기는,2,0,2,0.286,1.117,2
미국,2,0,2,0.286,1.117,6
미래는,2,0,2,0.286,1.117,2
번째,2,0,2,0.286,1.117,4
비자,2,0,2,0.286,1.117,3
상원도,2,0,2,0.286,1.117,2
새단장,2,0,2,0.286,1.117,2
수용번호,2,0,2,0.286,1.117,2
앞세워,2,0,2,0.286,1.117,2
업데이트,2,0,2,0.286,1.117,2
엔씨,2,0,2,0.286,1.117,2
역투,2,0,2,0.286,1.117,2
위기를,2,0,2,0.286,1.117,2
의약품,2,0,2,0.286,1.117,2
일자리,2,0,2,0.286,1.117,3
전문직,2,0,2,0.286,1.117,2
조사,2,0,2,0.286,1.117,2
종합,2,0,2,0.286,1.117,3
초격차,2,0,2,0.286,1.117,2
추격에,2,0,2,0.286,1.117,2
치리노스,2,0,2,0.286,1.117,2
카톡,2,0,2,0.286,1.117,2
탑재하나,2,0,2,0.286,1.117,2
호투,2,0,2,0.286,1.117,2
홈케어,2,0,2,0.286,1.117,2
도입,2,1,1,0.429,0.95,3
미래,2,0,2,0.429,0.95,9
산업,2,0,2,0.429,0.95,7
제네시스,2,0,2,0.429,0.95,6
추진,2,1,1,0.429,0.95,6
10월,2,0,2,0.571,0.814,4
boe,2,1,1,0.571,0.814,7
고백,2,0,2,0.571,0.814,4
로봇,2,0,2,0.571,0.814,5
서밋,2,0,2,0.571,0.814,4
없는,2,0,2,0.571,0.814,5
정부조직법,2,2,0,0.571,0.814,4
중국,2,1,1,0.571,0.814,6
최주선,2,0,2,0.571,0.814,4
