org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
10월,0,2,1,1,2,0,0
1위,4,3,2,2,4,4,4
2020년,3,2,5,4,4,0,3
2종,0,2,1,1,2,0,0
2차전지,3,4,2,3,4,4,5
2천명,4,1,3,2,3,1,3
30대,1,1,1,0,3,1,1
3분기,4,5,3,2,4,2,5
4855억,1,3,1,2,2,1,3
8.6세대,2,2,4,5,3,0,2
advertisement,4,3,2,2,4,4,4
AI,25,20,20,17,26,24,22
and,2,0,0,0,2,2,0
A씨,1,1,1,0,3,1,1
BOE,2,2,4,5,3,0,2
B씨,1,1,1,0,3,1,1
Chk,2,1,1,0,3,1,0
CJ대한통운,4,3,2,2,4,4,4
CSOT,2,2,4,5,3,0,2
director,1,0,0,0,1,1,0
DUNK,0,2,1,1,2,0,0
ESS,3,4,2,3,4,4,5
FE,4,3,2,4,4,4,4
film,1,0,0,0,1,1,0
FIRST,0,2,1,1,2,0,0
for,2,0,0,0,2,2,0
from,1,0,0,0,1,1,0
GFX,1,5,3,2,2,5,3
H-1B,4,1,3,2,3,1,3
HPSP,3,4,4,4,4,3,5
IDEA,1,5,3,2,2,3,3
in,2,0,0,0,2,2,0
is,1,0,0,0,1,1,0
IT용,2,2,4,5,3,0,2
Korea,1,0,0,0,1,1,0
LCD,1,1,4,5,3,1,2
LG디스플레,1,3,1,2,2,1,3
LG디스플레이,1,3,1,2,2,1,3
LG전자,9,7,10,13,12,6,10
natural,1,0,0,0,1,1,0
of,2,0,0,0,2,2,0
OLED,5,5,11,15,10,3,7
on,2,0,0,0,2,2,0
or,1,0,0,0,1,1,0
Park,1,0,0,0,1,1,0
products,1,0,0,0,1,1,0
S.,1,0,0,0,1,1,0
said,1,0,0,0,1,1,0
Samsung,4,3,4,2,3,5,1
SLAM,0,2,1,1,2,0,0
TCL,3,2,5,4,4,0,3
THE,0,2,1,1,2,0,0
the,2,0,0,0,2,2,0
The,2,0,0,0,2,2,0
to,2,0,0,0,2,2,0
with,2,0,0,0,2,2,0
Youn,1,0,0,0,1,1,0
가격,2,4,4,6,6,2,3
각각,3,4,4,4,4,3,5
각각각,3,4,4,4,4,3,5
개발,3,4,2,3,4,4,5
개통,1,4,2,2,2,2,1
갤럭시,12,9,8,8,11,13,9
거래일,3,4,4,4,4,3,5
검사장비,3,4,2,3,4,4,5
것으로,5,6,4,2,7,3,6
게이밍,1,5,3,2,2,5,3
경동나비엔,1,5,3,2,2,3,3
경제,3,1,2,0,2,1,0
경직된,1,1,4,5,3,1,2
경찰,1,1,1,0,3,1,1
경험,4,3,4,2,3,5,1
고증,0,1,0,1,2,1,0
공공기관,3,1,1,0,4,2,2
공정,5,6,5,8,8,6,8
관세협상,3,1,2,0,2,1,0
교육,1,5,3,2,2,5,3
구조,1,3,1,2,2,1,3
기능,10,9,8,5,12,13,5
기반,1,5,3,2,2,5,3
기반으로,0,3,2,1,2,3,1
기업들,2,2,4,5,3,0,2
기자,1,1,1,0,3,1,1
기조,3,1,2,0,2,1,0
기준,1,5,3,2,2,5,3
남겼다.,2,1,1,0,1,0,0
내비게이션,2,1,1,0,2,2,0
내수시장,1,1,4,5,3,1,2
네이버지도,4,3,4,1,4,3,2
다.,3,4,4,4,4,3,5
다양한,9,11,11,5,9,13,6
담은,2,1,1,0,1,0,0
대비,3,4,4,4,4,3,5
대안경로,2,1,1,0,2,2,0
대통령,3,1,2,0,2,1,0
대표하,2,1,1,0,3,1,0
대한,3,2,2,0,2,1,2
댓글,3,1,2,0,2,1,0
데이터센터,4,3,2,4,4,4,4
덱스,0,2,1,1,3,2,0
덱스에서,0,2,1,1,3,2,0
도도한,3,1,1,0,4,2,2
도쿄게임쇼,2,2,3,1,2,1,2
드라이버,2,2,3,5,4,2,3
드림에이지,2,2,3,1,2,1,2
등을,6,5,5,4,8,5,7
등이,3,1,1,0,4,2,2
디스플레,2,4,5,6,6,2,2
디자인,5,8,7,4,5,8,4
따라,1,4,2,2,2,2,1
라인업,0,2,1,1,2,0,0
라프텔,2,2,3,1,2,1,2
롯데그룹,2,2,2,5,3,0,2
롯데호텔에서,2,2,2,5,3,0,2
르노,0,3,2,1,2,3,1
리더십,4,3,2,2,4,4,4
매년,4,1,3,2,3,1,3
매수,3,2,2,0,2,1,2
매장,2,2,2,5,3,0,2
멘트,2,1,1,0,1,0,0
모니터,0,2,1,1,3,2,0
모델,1,7,4,3,4,5,2
모바일,4,3,4,2,3,5,1
목표주가,3,2,2,0,2,1,2
몰락,1,1,4,5,3,1,2
무대에서,2,1,1,0,3,1,0
무드,2,1,1,0,1,0,0
물개,2,1,1,0,1,0,0
물류,4,3,2,2,4,4,4
뮤지컬,2,1,1,0,3,1,0
미국,14,7,12,10,13,6,10
미쓰비시,0,3,2,1,2,3,1
민주주,3,1,2,0,2,1,0
바이오,4,1,3,2,3,1,3
박람회,3,1,1,0,4,2,2
반도체,8,10,9,12,12,9,13
반등,1,3,1,2,2,1,3
반포,2,1,1,0,3,1,0
밝혔다.,1,5,3,2,2,5,3
배경으로,2,1,1,0,1,0,0
배터리,3,4,4,4,4,3,5
범행,1,1,1,0,3,1,1
베스트바,3,2,5,4,4,0,3
베일,0,1,0,1,2,1,0
변화에,1,1,4,5,3,1,2
본상,1,5,3,2,2,3,3
분야,4,1,3,2,3,1,3
비로컬,2,2,3,1,2,1,2
비자,4,1,3,2,3,1,3
사업,8,10,5,9,10,9,12
사용,1,4,2,2,2,2,1
사용자,1,5,3,2,2,3,3
