type,sentence,url,date
LAUNCH,2026년형 연식 변경을 적용한 최신 사양으로 전 세계에서 가장 먼저 한국 시장에 출시됐다.,https://www.betanews.net/article/view/beta202509110055,2025-09-11
INVEST,앞차와의 거리와 속도를 계산해 안전 거리를 유지하는 어댑티브 크루즈 컨트롤을 비롯해 ▲차선 이탈 조향 보조 시스템 ▲후방 교차 충돌 제동 보조 ▲전방 교차 충돌 제동 보조 ▲차량 주변을 360도로 확인할 수 있는 3D 서라운드 뷰 모니터 등 다양한 첨단 주행 안전 보조 시스템들이 운전자의 안전과 편의성을 한층 강화했다.,https://www.betanews.net/article/view/beta202509110055,2025-09-11
LAUNCH,아마존이 내년 말 소비자용 증강현실(AR) 스마트 안경을 출시할 계획을 밝혔다.,https://www.fntoday.co.kr/news/articleView.html?idxno=363230,2025-09-11
LAUNCH,이번 아마존의 소비자용 AR 안경 출시는 지난해 메타의 '레이밴 스마트 글래스' 성공에 이어 첨단 AI 기반 웨어러블 기기 시장을 빠르게 확대하는 큰 흐름 속에 자리 잡았다.,https://www.fntoday.co.kr/news/articleView.html?idxno=363230,2025-09-11
LAUNCH,"아직 대중화 초기 단계이나, 아마존과 메타, 삼성, 구글 등 글로벌 IT 기업들이 AI 지원 AR 기기 출시를 준비하며 경쟁이 가열되고 있다.",https://www.fntoday.co.kr/news/articleView.html?idxno=363230,2025-09-11
LAUNCH,전 세계에서 가장 먼저 한국 시장에 출시됐다.,https://sports.khan.co.kr/article/202509111150003?pt=nv,2025-09-11
REGUL,BYD 코리아는국고보조금의 예상 상당액인 180만 원을 선제적으로 지원한다.,https://sports.khan.co.kr/article/202509111150003?pt=nv,2025-09-11
REGUL,이를 통해 아직 국고보조금 산정이 완료 전임에도 신속 출고가 가능하도록 했다.,https://sports.khan.co.kr/article/202509111150003?pt=nv,2025-09-11
REGUL,BYD코리아는 국고보조금이 최종 확정된 이후 발생하는 차액도 추가로 제공할 예정이다.,https://sports.khan.co.kr/article/202509111150003?pt=nv,2025-09-11
REGUL,"BYD 씨라이언 7 소비자가격은 4490만원(환경친화적 자동차 세제 혜택 적용 후, 전기차 보조금 미포함)이다.",https://sports.khan.co.kr/article/202509111150003?pt=nv,2025-09-11
LAUNCH,이 중 지커는 올해 말 국내 출시를 공식 예고했다.,https://sports.khan.co.kr/article/202509111150003?pt=nv,2025-09-11
REGUL,"가장 큰 단점이 사후관리, A/S면에서 불편하고, 브랜드 인지도가 낮고, 가격적 차이도 중국 배터리에 대한 차등 보조금 정책 아래 국산 동급 모델 대비 ‘확연히 다른 갭차이’를 보이지 않기 때문이다.",https://sports.khan.co.kr/article/202509111150003?pt=nv,2025-09-11
LAUNCH,"테크레이더는 ""아이폰17은 최근 출시된 기본 모델 중 가장 완성도가 높다""며 ""프로 모델의 4800만화소 망원 카메라는 인상적이지만, 일반 사용자에게 299달러의 추가 지불 가치가 있는지는 의문""이라고 분석했다.",https://www.digitaltoday.co.kr/news/articleView.html?idxno=591183,2025-09-11
LAUNCH,2026년형 연식 변경을 적용한 최신 사양으로 전 세계에서 가장 먼저 한국 시장에 출시됐다.,https://www.econovill.com/news/articleView.html?idxno=710960,2025-09-11
