term,cur,prev,diff,total,ma7,z_like
삼성,91,29,62,413,22.571,11.899
애플,36,33,3,122,12.857,5.047
lg,31,8,23,275,7.429,6.327
삼성전자,24,9,15,89,5.286,5.673
엔비디아,20,3,17,30,3.286,5.943
lg전자,17,2,15,40,3.429,4.759
amd,12,28,-16,41,5.714,1.854
갤럭시,11,4,7,34,2.429,3.35
현대차,9,0,9,27,1.429,3.449
차세대,8,0,8,46,1.714,2.722
아이폰,8,4,4,27,2.857,1.912
퀄컴,7,2,5,18,1.286,2.678
구글,7,6,1,22,2.286,1.877
sk하이닉스,6,0,6,23,1.286,2.209
oled,6,4,2,126,4.429,0.506
한화,5,0,5,34,1.143,1.864
에어팟,4,0,4,6,0.714,1.781
ar,4,2,2,34,0.857,1.632
샤오미,3,1,2,6,0.571,1.383
byd,2,0,2,9,0.286,1.117
올레드,2,0,2,8,0.286,1.117
4k,2,0,2,2,0.286,1.117
sk온,2,0,2,3,0.429,0.95
tsmc,2,0,2,12,0.571,0.814
맥북,2,1,1,10,0.714,0.697
메타,1,0,1,10,0.143,0.622
인텔,1,0,1,8,0.143,0.622
공급망,1,0,1,5,0.143,0.622
기아,1,0,1,4,0.143,0.622
아마존,1,0,1,4,0.143,0.622
고속,1,0,1,1,0.143,0.622
기아차,1,0,1,1,0.143,0.622
시스코,1,0,1,1,0.143,0.622
한화시스템,1,0,1,1,0.143,0.622
카카오,1,0,1,10,0.429,0.345
화웨이,1,2,-1,5,0.429,0.345
현대모비스,1,6,-5,14,1.0,0.0
폴더블,1,4,-3,21,1.714,-0.309
삼성디스플레이,1,0,1,41,1.857,-0.363
lg디스플레이,1,4,-3,67,2.143,-0.464
