org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
15호,3,3,0,4,4,1,4
1950년,0,1,0,2,3,0,2
2025년,2,1,0,3,1,0,1
2030년,2,3,0,4,4,1,2
2분기,0,3,0,1,2,0,1
7은,1,1,1,3,3,0,2
9월,0,1,0,2,3,0,2
AI,21,21,37,17,19,36,19
all,0,1,0,0,0,0,0
and,0,1,0,0,0,0,0
BOE,0,3,0,1,2,0,1
BYD,1,1,1,3,3,0,2
categories,0,1,0,0,0,0,0
CBC뉴스,6,2,3,6,2,2,5
CEO스코어데일리,0,3,0,1,2,0,1
Consumer,0,1,0,0,0,0,0
Electronics,0,1,0,0,0,0,0
ETF,2,1,2,1,2,1,2
HBM,2,0,3,0,0,3,1
in,0,1,0,0,0,0,0
iQOO,0,1,0,0,0,0,0
KT,4,4,5,5,5,5,5
KTOP,1,2,1,2,3,1,1
LG,0,1,0,0,0,0,0
LG디스플레,0,3,0,1,2,0,1
MSI,1,1,1,1,1,1,3
NDC,2,3,0,4,4,1,2
OLED,0,7,1,2,3,2,2
PC,1,1,1,1,1,1,3
PLUS,2,1,2,1,2,1,2
POSCO홀딩스,1,1,1,2,3,1,1
Reports,0,1,0,0,0,0,0
SK하이닉스,1,1,1,2,3,1,1
spot,0,1,0,0,0,0,0
survey,0,1,0,0,0,0,0
SUV,1,1,1,3,3,0,2
the,0,1,0,0,0,0,0
top,0,1,0,0,0,0,0
top-load,0,1,0,0,0,0,0
washers,0,1,0,0,0,0,0
WITECK,4,6,9,2,2,10,3
year,0,1,0,0,0,0,0
가격,1,1,2,3,2,1,3
가공,2,1,0,3,1,0,1
가을편,3,2,3,3,4,3,4
가치,3,3,3,2,3,4,1
가치사슬,3,3,3,2,3,4,1
개발,3,3,3,2,3,4,1
개최했다.,2,1,5,2,2,4,1
것으로,5,4,1,3,3,2,2
게이밍,1,1,1,1,1,1,3
게임,1,1,1,1,1,1,3
경우,3,3,0,4,4,1,4
경제,1,2,1,2,3,1,1
계획기간,2,3,0,4,4,1,2
계획이다.,4,4,5,5,5,5,5
고객,10,9,11,10,12,12,10
고객사,5,4,1,3,3,2,2
고공행진,1,1,2,3,2,1,3
고성능,1,1,1,1,1,1,3
고속도로,1,1,1,3,3,0,2
공모전,3,2,3,3,4,3,4
공청회,2,3,0,4,4,1,2
공학인,2,3,5,1,1,5,2
광화문글판,3,2,3,3,4,3,4
교내,2,1,5,2,2,4,1
교보14호스팩,3,3,0,4,4,1,4
교보15호스팩,3,3,0,4,4,1,4
교보생명,3,2,3,3,4,3,4
교보증권,3,3,0,4,4,1,4
교수,3,5,9,3,3,7,4
교육,0,2,6,1,1,5,3
교육부,0,2,6,1,1,5,3
교통안전,3,2,3,3,4,3,4
구성,1,2,1,2,3,1,1
국회,0,0,2,0,0,1,1
글로벌수소,2,1,2,1,2,1,2
기미,1,1,2,3,2,1,3
기자,1,4,2,4,4,1,4
낙동강,0,1,0,2,3,0,2
노면,1,1,1,3,3,0,2
논란,0,0,2,0,0,1,1
뉴욕,0,1,0,2,3,0,2
느낌,1,1,1,3,3,0,2
다양한,1,1,1,1,1,1,3
단순히,1,1,1,3,3,0,2
달걀값,1,1,2,3,2,1,3
대비,0,3,0,1,2,0,1
대통령,0,0,2,0,0,1,1
대표,2,0,3,0,0,3,1
대학,0,2,4,1,1,4,2
대한,2,3,0,4,4,1,2
덕산네오룩스,0,3,1,1,1,2,1
데이터,3,3,3,2,3,4,1
데이터센터,4,1,5,1,2,4,3
디스플레,3,1,0,0,2,1,0
따르면,0,3,0,1,2,0,1
롯데케미칼,1,1,1,2,3,1,1
리더로,4,6,9,2,2,10,3
리더스,4,6,9,2,2,10,3
리더십,4,6,9,2,2,10,3
리뷰,1,1,1,2,3,1,1
마련,2,3,0,4,4,1,2
막말,0,0,2,0,0,1,1
만큼,1,1,2,3,2,1,3
맞아,0,2,4,1,1,4,2
매출,4,4,5,5,5,5,5
매출액,2,1,0,3,1,0,1
메모리,5,4,1,3,3,2,2
멘토링,4,6,9,2,2,10,3
명가,3,3,0,4,4,1,4
모니터,1,1,1,1,1,1,3
모니터로,1,1,1,1,1,1,3
문제,1,1,2,3,2,1,3
문화,3,3,5,2,2,3,2
물가,1,1,2,3,2,1,3
미국,2,1,2,1,2,1,2
미래,2,1,5,2,2,4,1
미래포럼,2,0,3,0,0,3,1
반도체,5,4,1,3,3,2,2
발표,2,0,3,0,0,3,1
밝혔다.,4,4,5,5,5,5,5
배출권,2,3,0,4,4,1,2
배출허용총량,2,3,0,4,4,1,2
법무법인,3,3,5,2,2,3,2
변호사,3,3,5,2,2,3,2
변화에,2,0,3,0,0,3,1
보험개발원,3,3,3,2,3,4,1
보험사,3,3,3,2,3,4,1
보험산업,3,3,3,2,3,4,1
보호,3,3,5,2,2,3,2
부품,2,1,0,3,1,0,1
분기,0,3,0,1,2,0,1
블룸에너지,2,1,2,1,2,1,2
비중,2,3,0,4,4,1,2
사업,0,3,1,1,1,2,1
사유진,0,3,0,1,2,0,1
산란계,1,1,2,3,2,1,3
산세리프,1,0,0,0,2,1,0
산업,0,3,1,1,1,2,1
산업계,4,6,9,2,2,10,3
산학협력,2,1,5,2,2,4,1
삼성물산,4,1,3,3,1,2,4
삼성생명,4,1,3,3,1,2,4
삼성전자,5,2,4,5,4,3,5
삼성화재,3,2,3,3,4,3,4
상상관,2,1,5,2,2,4,1
상승,4,1,3,3,1,2,4
상승률,2,1,2,1,2,1,2
상장폐지,3,3,0,4,4,1,4
상품,3,2,3,3,4,3,4
새로운,0,2,4,1,1,4,2
서비스,3,2,3,3,4,3,4
서울팝콘,1,1,1,1,1,1,3
성균관대,0,2,4,1,1,4,2
성능,1,1,1,1,1,1,3
성명문,0,0,2,0,0,1,1
성장,9,10,10,5,5,12,5
세종시교육감,0,0,2,0,0,1,1
수집,3,3,3,2,3,4,1
스팩,3,3,0,4,4,1,4
시대,6,8,12,5,6,11,5
신한라이프,3,2,3,3,4,3,4
실장,3,3,3,2,3,4,1
실적,7,5,1,6,4,2,3
실제,1,1,1,3,3,0,2
심층기획,0,3,0,1,2,0,1
씨라이언,1,1,1,3,3,0,2
씨엠디엘,3,3,0,4,4,1,4
아이폰,4,4,5,5,5,5,5
안전,3,3,3,2,3,4,1
안정적인,1,1,1,3,3,0,2
어린,3,2,3,3,4,3,4
없는,1,1,1,1,1,1,3
여성,4,6,9,2,2,10,3
여성공학인,4,6,9,2,2,10,3
여전히,1,0,0,0,2,1,0
여학생,0,0,2,0,0,1,1
연결기술,2,0,3,0,0,3,1
연료전지,2,1,2,1,2,1,2
영업이익,2,1,0,3,1,0,1
예술,2,1,5,2,2,4,1
예심,3,3,0,4,4,1,4
예정이다.,3,2,3,3,4,3,4
오라클,2,1,2,1,2,1,2
올라,2,1,2,1,2,1,2
올해,4,4,2,7,6,2,7
운전,3,3,3,2,3,4,1
원에서,4,1,3,3,1,2,4
원으로,4,1,3,3,1,2,4
위한,6,5,8,5,6,6,6
위해,4,4,5,5,5,5,5
유상할당,2,3,0,4,4,1,2
의견,2,3,0,4,4,1,2
의혹,0,0,2,0,0,1,1
이는,4,1,3,3,1,2,4
이번,4,6,9,2,2,10,3
이어,3,3,0,4,4,1,4
이어가고,1,1,2,3,2,1,3
이에,0,2,4,1,1,4,2
이영옥,4,6,9,2,2,10,3
이재용,4,1,3,3,1,2,4
이지안,1,1,2,3,2,1,3
인공지능,2,1,2,1,2,1,2
인물,0,0,2,0,0,1,1
인재,0,2,4,1,1,4,2
인재양성,2,1,5,2,2,4,1
인천상륙작전,0,1,0,2,3,0,2
인천시립박물관,0,1,0,2,3,0,2
있는,5,5,6,8,8,5,7
있다,0,2,4,1,1,4,2
있다.,13,14,11,14,14,13,16
있습니다.,1,1,2,3,2,1,3
잡포스트,0,3,1,1,1,2,1
장관,0,0,2,0,0,1,1
장비,5,4,1,3,3,2,2
저작권,3,3,5,2,2,3,2
전기,1,1,1,3,3,0,2
전략,3,3,5,2,2,3,2
전력,2,1,2,1,2,1,2
전쟁,0,1,0,2,3,0,2
전투,0,1,0,2,3,0,2
점유율,0,3,0,1,2,0,1
정기,1,1,1,2,3,1,1
정명수,2,0,3,0,0,3,1
정밀,2,1,0,3,1,0,1
정부,5,5,7,8,7,6,8
제목,2,0,3,0,0,3,1
제품,6,5,2,4,4,3,5
존속기한,3,3,0,4,4,1,4
종군기자,0,1,0,2,3,0,2
종목,2,3,2,4,6,2,2
주가,6,2,5,4,3,3,6
주도로,0,0,2,0,0,1,1
주식,4,1,3,3,1,2,4
주식재산,4,1,3,3,1,2,4
주제로,2,1,5,2,2,4,1
주행,1,1,1,3,3,0,2
중국,2,1,5,2,2,4,1
중요성,2,0,3,0,0,3,1
증가,4,1,3,3,1,2,4
증가했다.,4,1,3,3,1,2,4
지난,4,4,5,5,5,5,5
지원,4,4,5,5,5,5,5
진행된,2,0,3,0,0,3,1
차세대,2,0,3,0,0,3,1
차세대연료전지,2,1,2,1,2,1,2
차체,1,1,1,3,3,0,2
초상권,3,3,5,2,2,3,2
초우량,1,2,1,2,3,1,1
최초로,0,1,0,2,3,0,2
추석,1,1,2,3,2,1,3
충격,1,1,1,3,3,0,2
침해,3,3,5,2,2,3,2
카운터포인트리서치에,0,3,0,1,2,0,1
컨슈머타임스,1,2,1,2,3,1,1
컨퍼런스홀에서,2,1,5,2,2,4,1
케이-컬처,3,3,5,2,2,3,2
콘텐츠,4,4,6,3,3,4,5
쿠팡,4,4,5,5,5,5,5
통해,10,9,14,11,13,14,8
투자하,2,1,2,1,2,1,2
트리뷴,0,1,0,2,3,0,2
특별전,0,1,0,2,3,0,2
특히,1,1,1,1,1,1,3
티에스,5,4,1,3,3,2,2
티에스이,5,4,1,3,3,2,2
파네시아,2,0,3,0,0,3,1
패널,0,1,0,0,0,0,0
패러다임,2,0,3,0,0,3,1
포럼,6,7,14,4,4,14,4
폭행,0,0,2,0,0,1,1
폰트,1,0,0,0,2,1,0
프로브카드,5,4,1,3,3,2,2
하락했다.,0,3,0,1,2,0,1
학부모,0,0,2,0,0,1,1
학생,0,2,4,1,1,4,2
한국,3,4,5,4,5,3,4
