org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
000건,4,3,3,3,2,1,1
10월,2,0,1,1,0,0,1
15분,2,0,3,2,2,1,1
1사,1,1,1,0,1,0,1
1하천,1,1,1,0,1,0,1
2o,1,0,1,1,0,0,0
30MW,3,2,2,3,2,5,2
3a,1,0,1,1,0,0,0
4o,1,0,1,1,0,0,0
8.6세대,2,3,2,1,1,0,5
AI,25,14,25,25,12,16,12
Assist,1,0,1,1,0,0,0
BESS,3,2,2,3,2,5,2
BOE,1,2,1,0,1,0,2
CAPA,0,1,0,2,2,0,3
FPT,2,3,2,2,4,1,4
IBC,5,3,4,1,2,1,3
IBM,3,1,2,5,2,5,3
ISO,5,3,4,1,2,1,3
IT,2,3,2,2,4,1,4
KEEP,1,0,1,1,0,0,0
Knox,1,0,1,1,0,0,0
KPR,4,3,3,3,2,1,1
LCD,4,4,2,0,1,1,3
LED,3,2,1,1,2,0,4
LG,3,2,1,1,2,0,4
LGD,1,2,1,0,1,0,2
LG디스플레,5,10,6,2,6,0,12
LG디스플레이,4,8,5,2,5,0,10
LG전자,3,2,1,1,2,0,4
Now,1,0,1,1,0,0,0
OLED,14,17,11,5,11,2,19
One,1,0,1,1,0,0,0
P-OLED,4,5,3,0,1,1,5
PBV,2,1,4,0,0,1,0
RGB,3,2,1,1,2,0,4
SaMT,2,3,2,2,4,1,4
SCH도서전,2,1,3,3,0,2,0
SF,2,1,3,3,0,2,0
SF문학,2,1,3,3,0,2,0
TCL,3,2,1,1,2,0,4
UI,1,0,1,1,0,0,0
UX,1,0,1,1,0,0,0
W-OLED,4,4,2,0,1,1,3
Wi-Fi,1,0,1,1,0,0,0
가꾸기,1,1,1,0,1,0,1
가동률,4,4,2,0,1,1,3
가스안전,1,1,3,0,1,3,0
가스안전공사,1,1,3,0,1,3,0
가을철,2,0,1,1,0,0,1
가장,3,0,1,1,0,0,1
가족,3,1,1,4,0,2,1
강조했습니다.,3,1,2,5,2,5,3
강화,1,1,3,0,1,3,0
같은,1,0,0,0,0,0,0
거래,1,2,1,0,1,0,2
것으로,8,12,6,4,8,1,14
것이란,1,2,1,0,1,0,2
결과,1,0,0,0,0,0,0
경기,2,0,3,2,2,1,1
경북,3,2,2,3,2,5,2
경인방송,2,0,3,2,2,1,1
경쟁사,2,4,2,1,4,0,3
경제,2,4,4,1,4,2,3
경제적,2,4,4,1,4,2,3
경찰청,3,1,2,2,1,1,3
계열사,1,1,1,0,1,0,1
고객사,4,4,2,0,1,1,3
공동,1,0,2,3,0,4,0
과학,2,1,3,3,0,2,0
관계자,3,1,2,2,1,1,3
관광,2,0,3,2,2,1,1
교육,1,1,3,0,1,3,0
구미,3,2,2,3,2,5,2
구미산단,3,2,2,3,2,5,2
구축,3,2,2,3,2,5,2
구축사업,3,2,2,3,2,5,2
국가,1,1,3,0,1,3,0
국가산업단지,3,2,2,3,2,5,2
국립수목원,2,0,1,1,0,0,1
규제,4,3,5,4,2,2,1
규제에,3,2,2,3,2,5,2
금산,3,1,1,4,0,2,1
금산군수,3,1,1,4,0,2,1
금산인삼,3,1,1,4,0,2,1
금융,3,1,2,2,1,1,3
기능,2,1,4,0,0,1,0
기반,5,1,8,5,1,4,2
