org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
-806억서,1,2,2,2,1,2,0
2030년까지,1,4,1,1,2,1,0
3분기,2,4,2,4,2,2,0
8은,4,0,8,2,4,5,10
9개,5,1,1,2,2,2,1
AI,18,5,23,8,19,24,26
also,2,0,4,1,2,2,5
and,2,0,4,1,2,2,5
CAPA,2,8,2,2,4,2,0
HBM,2,3,2,2,4,1,2
HX,2,1,1,2,1,2,3
iM증권,3,5,2,4,5,1,2
in,2,0,4,1,2,2,5
LCD,1,2,0,2,1,0,0
LG디스플레,5,10,4,12,6,2,2
LG디스플레이,2,7,4,5,4,2,1
MSI,2,1,1,2,1,2,3
NAVER,2,1,0,5,1,0,1
NH투자증권,4,4,0,3,5,1,1
of,2,0,4,1,2,2,5
OLED,4,17,5,6,9,3,1
One,6,0,12,3,6,7,15
PBV,2,0,2,0,1,3,3
RTX,2,1,1,2,1,2,3
SKT,1,0,2,1,2,3,4
SK하이닉스,8,8,2,10,10,2,4
the,2,0,4,1,2,2,5
The,2,0,4,1,2,2,5
to,2,0,4,1,2,2,5
UI,6,0,12,3,6,7,15
UNIST,2,1,3,0,2,4,2
with,2,0,4,1,2,2,5
you,2,0,4,1,2,2,5
각각,0,1,1,2,2,0,0
갈등,2,2,2,2,4,4,1
강세,0,1,1,2,2,0,0
강승진,2,1,1,2,1,2,3
강지영,1,4,1,1,2,1,0
개인,2,1,5,3,4,2,5
갤러리,5,1,1,2,2,2,1
갤럭시,4,0,8,2,4,5,10
거래일,2,1,0,5,1,0,1
거점,2,1,3,0,2,4,2
건강,3,0,3,0,2,5,2
검색비율,2,1,0,5,1,0,1
것으로,9,18,5,11,15,3,4
것은,2,3,3,0,3,3,5
것이라,1,2,0,2,1,0,0
결론,2,2,2,2,4,4,1
경영,2,3,3,0,3,3,5
경쟁사,1,5,2,3,3,0,1
계획이다.,3,0,3,0,2,5,2
고객,1,0,2,1,2,3,4
공동,1,0,2,1,2,3,4
관심,2,1,0,5,1,0,1
광주,3,0,3,0,2,5,2
교류,5,1,1,2,2,2,1
국비,3,0,3,0,2,2,2
기관,2,2,4,2,4,4,2
기기,2,0,4,1,2,3,5
기능,8,0,14,3,7,10,18
기록하며,2,1,0,5,1,0,1
기반,4,0,8,2,4,5,10
기아,4,0,5,1,3,7,5
기자,2,0,3,1,2,4,2
기존,4,3,4,2,5,4,5
나타내고,0,1,1,2,2,0,0
내년,2,3,2,2,4,1,2
내년도,3,0,3,0,2,2,2
내비게이션,2,0,2,0,1,3,3
노트북,2,1,1,2,1,2,3
뉴미디어,5,1,1,2,2,2,1
뉴스,2,1,1,2,1,2,3
다변화,1,4,1,1,2,1,0
다양한,2,0,4,1,2,3,5
단순히,2,3,3,0,3,3,5
달성,1,4,1,1,2,1,0
대비,2,1,0,5,1,0,1
대웅제약,3,0,3,0,2,5,2
대통령,2,2,2,2,4,4,1
더불어민주당,3,0,3,0,2,2,2
더욱,4,0,8,2,4,5,10
더퍼블릭,3,0,5,2,4,7,6
델리,5,1,1,2,2,2,1
동구,3,0,3,0,2,5,2
동남권,2,1,3,0,2,4,2
동시에,2,3,3,0,3,3,5
동일한,2,3,3,0,3,3,5
두산밥캣,4,4,0,3,5,1,1
두산에너빌리티,6,5,0,8,6,1,2
둔화에도,2,3,2,2,4,1,2
들어,1,2,0,2,1,0,0
등은,0,1,1,2,2,0,0
디스플레,2,0,2,0,1,3,3
레거시,2,3,2,2,4,1,2
로봇,2,0,3,1,2,4,2
리서치,1,0,2,1,2,3,4
마스터스,5,1,1,2,2,2,1
매수,4,4,0,3,5,1,1
매출,2,8,2,2,4,2,0
목표로,1,4,1,1,2,1,0
무역,2,2,2,2,4,4,1
미국,2,2,2,2,4,4,1
미중,2,2,2,2,4,4,1
박준호,1,2,2,2,1,2,0
반도체,2,8,2,2,4,2,0
반응설비,3,12,3,3,6,3,0
방산,2,8,2,2,4,2,0
보면,0,1,1,2,2,0,0
보안,4,0,8,2,4,5,10
보이고,0,1,1,2,2,0,0
부경대,2,1,3,0,2,4,2
부경대학교,2,1,3,0,2,4,2
부문,4,4,0,3,5,1,1
부산,2,1,3,0,2,4,2
부산테크노파크,2,1,3,0,2,4,2
부스,2,1,1,2,1,2,3
북미,1,5,2,3,3,0,1
사업,4,4,0,3,5,1,1
사용자,6,0,12,3,6,7,15
산업,3,0,3,0,2,5,2
삼성전자,6,5,0,8,6,1,2
상승,2,1,0,5,1,0,1
생산,6,7,3,3,8,4,6
생산시설,3,12,3,3,6,3,0
생태계,3,0,3,0,2,5,2
서비스,3,0,3,0,2,5,2
선정,1,4,1,1,2,1,0
설립,2,1,3,0,2,4,2
성능,2,1,1,2,1,2,3
소재,1,4,1,1,2,1,0
수요,4,4,0,3,5,1,1
순조롭게,1,4,1,1,2,1,0
스마트폰,1,5,2,3,3,0,1
스타트업,5,0,6,1,4,9,4
시간,2,3,3,0,3,3,5
시민,3,0,3,0,2,5,2
시사캐스트,2,0,2,0,1,3,3
시장에서,1,5,2,3,3,0,1
신규,3,12,3,3,6,3,0
실적,2,7,2,5,4,0,1
실증,3,0,3,0,2,5,2
아카데미,2,1,1,2,1,2,3
아트아시아,5,1,1,2,2,2,1
양산,3,12,3,3,6,3,0
양원모,1,0,2,1,2,3,4
양측,2,2,2,2,4,4,1
업데이트,4,0,8,2,4,5,10
엔비디아,2,2,2,2,4,4,1
엠에스아이코리아,2,1,1,2,1,2,3
역시,1,2,0,2,1,0,0
연구원,2,3,2,2,4,1,2
연매출,1,4,1,1,2,1,0
영업이익,2,4,2,4,2,2,0
예산,3,0,3,0,2,2,2
오는,1,4,1,1,2,1,0
오픈AI,1,0,2,1,2,3,4
오피니언뉴스,1,2,2,2,1,2,0
올인원,2,0,2,0,1,3,3
올해,1,4,1,1,2,1,0
외국인,0,1,1,2,2,0,0
요청했습니다.,3,0,3,0,2,2,2
운영,2,1,3,0,2,4,2
운전자,2,0,2,0,1,3,3
운행,2,0,2,0,1,3,3
울산테크노파크,2,1,3,0,2,4,2
원어치,0,1,1,2,2,0,0
위해,3,0,3,0,2,2,2
유효성,2,3,2,2,4,1,2
이끌고,0,1,1,2,2,0,0
