org,topic_0,topic_1,topic_10,topic_11,topic_12,topic_13,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,15.44 (2%),7.11 (1%),6.00 (3%),,12.32 (2%),19.72 (3%),,,12.76 (3%),10.48 (2%),,,,9.01 (1%)
ASUS,2.81 (0%),,1.71 (1%),,,,0.81 (0%),7.93 (2%),,,6.09 (1%),2.38 (1%),2.25 (1%),2.08 (0%)
BMW,2.81 (0%),0.71 (0%),,,0.68 (0%),0.73 (0%),,1.44 (0%),1.50 (0%),,,0.79 (0%),0.75 (0%),
BOE,26.68 (3%),,7.72 (4%),,26.01 (4%),23.37 (4%),,,9.00 (2%),,37.28 (7%),28.59 (6%),,22.87 (4%)
BYD,1.40 (0%),,1.71 (1%),,2.05 (0%),,4.03 (1%),5.76 (1%),,0.81 (0%),1.52 (0%),,1.50 (1%),
CES,0.70 (0%),,,,0.68 (0%),,,,,0.81 (0%),0.76 (0%),,,1.39 (0%)
CSOT,10.53 (1%),2.13 (0%),,,5.48 (1%),2.92 (0%),,2.16 (1%),,,11.41 (2%),6.35 (1%),,5.55 (1%)
HP,3.51 (0%),,,,2.05 (0%),1.46 (0%),4.84 (2%),,4.50 (1%),,3.80 (1%),,1.50 (1%),2.77 (0%)
Harman,1.40 (0%),1.42 (0%),1.71 (1%),,,2.19 (0%),,3.60 (1%),2.25 (0%),,1.52 (0%),,3.75 (2%),
IoT,14.74 (2%),12.09 (2%),,,,8.76 (1%),7.25 (3%),12.25 (3%),16.51 (4%),10.48 (2%),,,7.50 (3%),
JDI,3.51 (0%),,1.71 (1%),1.16 (0%),1.37 (0%),,,,3.00 (1%),,3.04 (1%),4.77 (1%),,1.39 (0%)
LG디스플레이,67.40 (7%),,,117.24 (15%),44.49 (8%),33.59 (5%),,,27.76 (6%),,74.56 (14%),71.48 (16%),,46.44 (8%)
LG전자,68.80 (7%),42.67 (7%),,117.24 (15%),56.81 (10%),48.19 (7%),,,45.77 (10%),,43.37 (8%),,,45.05 (7%)
LG화학,31.59 (3%),23.47 (4%),,116.07 (15%),,,,16.57 (4%),15.76 (3%),18.54 (4%),,17.47 (4%),,15.25 (2%)
SID,0.70 (0%),,,,0.68 (0%),,,,,0.81 (0%),0.76 (0%),,,1.39 (0%)
SK하이닉스,55.46 (6%),46.23 (8%),,,23.27 (4%),27.02 (4%),,,22.51 (5%),44.33 (9%),14.46 (3%),,,29.81 (5%)
Semiconductor,2.11 (0%),1.42 (0%),,,,0.73 (0%),,,0.75 (0%),1.61 (0%),,0.79 (0%),0.75 (0%),0.69 (0%)
TCL,3.51 (0%),,,,4.79 (1%),5.11 (1%),4.03 (1%),,3.75 (1%),,5.33 (1%),,3.00 (1%),4.16 (1%)
TSMC,3.51 (0%),4.27 (1%),1.71 (1%),,2.05 (0%),3.65 (1%),2.42 (1%),,3.00 (1%),2.42 (0%),,,,
Tianma,8.42 (1%),2.84 (0%),,,2.05 (0%),1.46 (0%),,,,1.61 (0%),4.56 (1%),4.77 (1%),,2.08 (0%)
V2X,7.72 (1%),10.67 (2%),,,2.74 (0%),3.65 (1%),,2.88 (1%),4.50 (1%),10.48 (2%),,,,3.47 (1%)
Visionox,18.25 (2%),7.11 (1%),,,4.79 (1%),2.92 (0%),,,,4.84 (1%),10.65 (2%),7.94 (2%),,5.55 (1%)
구글,37.58 (3%),19.45 (3%),,,25.24 (4%),32.13 (4%),,26.57 (6%),23.20 (4%),26.85 (5%),,,,32.15 (4%)
기아,21.06 (2%),7.82 (1%),,,9.58 (2%),9.49 (1%),,12.97 (3%),,24.18 (5%),9.89 (2%),,,13.86 (2%)
네이버,20.36 (2%),7.11 (1%),,42.95 (6%),6.84 (1%),,,10.09 (3%),7.50 (2%),15.32 (3%),,,,7.62 (1%)
두산로보틱스,7.02 (1%),6.40 (1%),,114.91 (15%),,,5.64 (2%),7.93 (2%),4.50 (1%),,,9.53 (2%),1.50 (1%),
디지타임스,4.91 (1%),,0.86 (0%),,3.42 (1%),5.11 (1%),,1.44 (0%),,,3.80 (1%),1.59 (0%),,3.47 (1%)
마이크로소프트,16.85 (2%),13.51 (2%),9.43 (5%),4.64 (1%),10.27 (2%),17.52 (3%),,,13.51 (3%),8.06 (2%),,,,
