org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
1c,2,2,2,3,1,4,4
1위,2,3,1,2,2,1,2
2026년,1,3,0,1,0,2,1
2030년까지,1,2,0,3,0,0,1
2o,1,1,1,0,1,1,1
2는,2,0,0,1,5,4,2
3분기,0,3,0,0,0,0,0
3사,4,4,3,4,3,5,2
4o,1,1,1,0,1,1,1
5G,4,1,3,2,5,3,2
8은,14,4,13,8,20,12,6
AD,1,1,3,0,1,4,2
advertisement,4,4,3,4,3,5,2
AI,34,23,29,26,37,35,28
and,4,4,4,3,3,3,4
APEC,1,1,1,0,1,1,1
as,1,1,1,0,1,1,1
at,1,1,1,0,1,1,1
cancer,1,1,1,0,1,1,1
CAPA,2,6,0,5,0,0,2
ChatGPT,4,4,3,4,3,5,2
DB손해보험,2,1,1,1,2,3,2
D램,2,2,2,3,1,4,4
global,3,3,3,3,2,2,3
HBM,8,10,7,7,4,7,10
Hynix,3,3,3,3,2,2,3
iM증권,4,11,2,2,1,3,4
IM증권,0,3,0,0,0,1,1
in,4,4,4,3,3,3,4
iOS,2,0,1,2,1,1,0
is,4,4,4,3,3,3,4
IT,2,1,1,2,1,3,3
its,1,1,1,0,1,1,1
KB,2,1,1,2,1,3,3
KB국민은행,2,1,1,2,1,3,3
LCD,0,3,0,0,0,0,0
LG디스플레,0,6,0,0,0,1,1
LG전자,2,3,1,2,2,1,2
Life,2,1,1,2,1,3,3
Lunit,1,1,1,0,1,1,1
of,4,4,4,3,3,3,4
OLED,6,14,1,11,2,3,6
on,1,1,1,0,1,1,1
One,14,4,10,8,19,13,8
OpenAI,4,4,3,4,3,5,2
P-OLED,1,6,0,1,0,3,2
PBV,2,0,0,1,5,4,2
Samsung,3,3,3,3,2,2,3
Sept.,1,1,1,0,1,1,1
SK,3,3,3,3,2,2,3
SKT,4,4,3,4,3,5,2
SK텔레콤,4,4,3,4,3,5,2
SK하이닉스,7,10,6,7,4,8,11
the,4,4,4,3,3,3,4
to,4,4,4,3,3,3,4
UI,17,5,14,10,24,16,9
Your,2,1,1,2,1,3,3
개발,2,2,2,3,1,4,4
갤럭시,17,5,14,10,24,16,9
검출,1,1,3,0,1,4,2
것으로,17,26,9,15,6,12,13
것이라,0,3,0,0,0,0,0
경기,2,3,2,3,2,3,4
경험,6,2,5,4,9,7,4
계열사,2,3,2,3,2,3,4
고객,4,4,3,4,3,5,2
고객사,3,4,1,2,2,5,3
공정,2,2,2,3,1,4,4
공채,2,3,2,3,2,3,4
규제기관,2,1,1,1,2,3,2
금융,5,3,3,6,2,4,6
금융으로,3,2,2,4,1,1,3
기기,12,3,11,8,16,10,4
기능,19,5,14,11,29,20,11
기록할,1,3,0,1,0,2,1
기반,15,4,13,9,22,13,6
기아,2,0,0,1,5,4,2
기자,4,4,3,4,3,5,2
기존,6,8,3,3,5,6,6
기준,2,3,1,2,2,1,2
내년,8,8,4,4,2,3,5
내비게이션,2,0,0,1,5,4,2
놓고,2,3,1,2,2,1,2
뇌졸중,2,1,2,1,1,2,2
뉴로핏,1,1,3,0,1,4,2
다변화,1,3,0,3,0,0,1
다양한,17,5,14,10,24,16,9
달성,1,2,0,3,0,0,1
대응,2,1,1,1,2,3,2
대전환,3,2,2,4,1,1,3
대회,2,1,1,2,1,3,3
더욱,7,2,4,4,9,7,5
데이터,6,6,5,7,4,9,6
동사,1,3,0,1,0,2,1
둔화에도,3,5,2,1,1,1,3
들어,0,3,0,0,0,0,0
디스플레,2,0,0,1,5,4,2
디스플레이에,1,0,0,1,2,1,0
디자인,2,0,1,2,1,1,0
레거시,3,5,2,1,1,1,3
매출,2,5,0,5,0,0,2
매출액,1,3,0,1,0,2,1
메모리,3,3,3,3,2,2,3
면서,0,3,0,0,0,1,1
목표로,1,2,0,3,0,0,1
목표주가,0,3,0,0,0,1,1
미세출혈,1,1,3,0,1,4,2
미터,1,0,0,0,3,3,2
반도체,5,9,3,8,2,2,5
반응설비,3,8,0,8,0,0,3
밝혔다.,6,5,5,5,4,7,4
방산,2,6,0,5,0,0,2
방향,3,2,2,4,1,1,3
배터리,2,0,1,2,1,1,0
법무법인,2,1,1,1,2,3,2
보급형,5,3,2,3,1,2,2
보안,17,5,14,10,24,16,9
보인다.,5,3,2,3,1,2,2
북미,3,6,1,3,2,3,3
비전,5,3,2,3,1,2,2
사고,2,1,1,1,2,3,2
사용자,17,5,14,10,24,16,9
사이버,2,1,1,1,2,3,2
사파리,2,0,1,2,1,1,0
삼성,2,3,2,3,2,3,4
삼성전자,6,8,5,8,5,8,10
새로운,7,3,3,5,2,3,2
생산시설,3,8,0,8,0,0,3
생산적,3,2,2,4,1,1,3
성과,2,1,2,1,1,2,2
성과급,2,3,2,3,2,3,4
성능,9,5,5,8,3,7,6
세대,2,2,2,3,1,4,4
소재,1,3,0,3,0,0,1
속도,2,2,2,3,1,4,4
솔루션,2,1,2,1,1,2,2
수출액,0,1,0,0,0,0,1
순조롭게,1,3,0,2,0,0,1
순항...CAPA,1,3,0,3,0,0,1
스마트폰,1,3,0,1,0,2,1
시리즈,10,3,8,6,14,10,6
