org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
100명,2,0,1,0,1,1,0
10년,2,0,1,0,2,2,1
16S,3,3,2,2,4,2,3
256GB,0,3,3,1,3,2,2
2분기,0,2,0,0,1,0,2
3년간,1,0,3,1,3,2,0
3만원,2,0,1,0,1,1,0
48MP,0,3,3,1,3,2,2
AI,12,11,14,12,17,17,11
Air,0,3,3,1,3,2,2
all,0,1,0,0,0,0,1
and,0,2,2,0,2,2,2
as,0,1,1,0,1,1,1
automotive,0,1,1,0,1,1,1
BOE,0,2,0,0,1,0,2
CAPA,0,5,2,2,2,4,2
categories,0,1,0,0,0,0,1
CEO스코어데일리,0,2,0,0,1,0,2
CMP,3,2,3,3,4,4,1
Consumer,0,1,0,0,0,0,1
DDI,1,2,1,2,2,1,5
Display,0,1,1,0,1,1,1
Electronics,0,1,0,0,0,0,1
ETF,2,0,1,0,1,1,0
First,2,2,1,3,4,4,1
for,0,0,1,0,1,1,0
HBM,0,0,1,0,1,1,0
HS사업본부장,4,2,0,1,1,0,0
hynix,0,0,1,0,1,1,0
ICT,0,1,2,0,4,3,2
in,0,2,2,0,2,2,2
iPhone,0,3,3,1,3,2,2
is,0,1,2,0,2,2,1
its,0,0,1,0,1,1,0
KAIT,1,0,3,1,3,2,0
KODEX,2,0,1,0,1,1,0
LCD,1,2,1,2,2,1,5
Lee,0,1,1,0,1,1,1
LG,4,3,0,1,1,0,1
LG디스플레,0,2,0,0,1,0,2
LG전자,4,2,0,1,1,0,0
LX세미콘,1,2,1,2,2,1,5
market,0,1,1,0,1,1,1
Max,0,3,3,1,3,2,2
Mover,2,2,1,3,4,4,1
M은,4,1,3,5,2,2,2
NH투자증권,2,3,2,2,2,3,3
OECD,7,0,2,1,4,3,1
of,0,1,2,0,2,2,1
OLED,7,18,10,9,15,12,16
on,0,1,1,0,1,1,1
Pro,0,3,3,1,3,2,2
production,0,0,1,0,1,1,0
Reports,0,1,0,0,0,0,1
said,0,0,1,0,1,1,0
Samsung,0,1,1,0,1,1,1
SFA,0,3,0,0,3,3,2
SK,0,0,1,0,1,1,0
SKC,3,2,3,3,4,4,1
SK엔펄스,3,2,3,3,4,4,1
SK하이닉스,5,6,4,5,9,10,6
spot,0,1,0,0,0,0,1
survey,0,1,0,0,0,0,1
SUV,2,2,4,1,3,1,1
the,0,2,2,0,2,2,2
The,0,0,1,0,1,1,0
Tier,4,1,3,3,2,3,4
to,0,1,2,0,2,2,1
top,0,1,0,0,0,0,1
top-load,0,1,0,0,0,0,1
USB,3,3,2,2,4,2,3
various,0,1,1,0,1,1,1
washers,0,1,0,0,0,0,1
Westin,1,2,3,5,3,3,1
year,0,1,0,0,0,0,1
가격,0,5,3,2,5,4,2
가솔린,2,2,4,1,3,1,1
가장,6,3,7,4,5,4,5
강남구,0,2,0,1,2,2,0
강조했다.,3,5,4,3,5,4,3
