term,cur,prev,diff,ma7,z_like,total
oled,37,7,30,10.429,6.283,93
it,23,5,18,4.857,5.663,39
삼성디스플레이,16,0,16,3.429,4.408,26
서밋,13,0,13,2.143,4.407,15
개최,17,3,14,4.143,4.236,49
대세화,11,0,11,1.571,4.184,11
lg,25,11,14,8.714,4.121,70
선도,8,0,8,1.143,3.314,12
출시,18,7,11,6.714,3.143,63
구광모,7,0,7,1.0,3.0,7
손주영,7,0,7,1.0,3.0,7
디스플레이,17,2,15,6.571,2.927,62
eu에,6,0,6,0.857,2.67,6
디아즈,6,0,6,0.857,2.67,6
불공정,6,0,6,0.857,2.67,6
삼성과,6,0,6,0.857,2.67,6
시니어,6,0,6,0.857,2.67,6
장비,9,0,9,2.571,2.469,19
삼성,20,14,6,9.857,2.45,91
강화,10,5,5,3.286,2.387,35
퀄컴,6,0,6,1.143,2.348,8
김영웅,5,0,5,0.714,2.323,5
리밋,5,0,5,0.714,2.323,5
브레이커스,5,0,5,0.714,2.323,5
시즌,5,0,5,0.714,2.323,5
얼라이언스,5,0,5,0.714,2.323,5
제로,5,0,5,0.714,2.323,5
출범,5,0,5,0.714,2.323,7
타이베이서,5,0,5,0.714,2.323,5
폐기해야,5,0,5,0.714,2.323,5
피지컬ai,5,0,5,0.714,2.323,5
홈런,5,0,5,0.714,2.323,5
애플,7,3,4,1.857,2.177,16
최다,5,0,5,0.857,2.151,8
시작,7,2,5,2.0,2.071,25
삼성d,10,5,5,4.0,2.0,28
4배,4,0,4,0.571,1.953,4
96,4,0,4,0.571,1.953,4
ap시스템,4,0,4,0.571,1.953,4
ax,4,0,4,0.571,1.953,4
검사,4,0,4,0.571,1.953,4
논의,4,0,4,0.571,1.953,5
대만서,4,0,4,0.571,1.953,4
디지털시장법,4,0,4,0.571,1.953,4
메일,4,0,4,0.571,1.953,4
뱅가드,4,0,4,0.571,1.953,4
사장단,4,0,4,0.571,1.953,4
수비,4,0,4,0.571,1.953,4
신작,4,0,4,0.571,1.953,4
회의,4,0,4,0.571,1.953,6
무한,5,0,5,1.143,1.864,8
공급,4,0,4,0.714,1.781,11
엔씨소프트,4,1,3,0.714,1.781,5
내년,4,0,4,0.857,1.632,11
스냅드래곤,4,0,4,0.857,1.632,6
lg디스플레이,6,0,6,2.143,1.565,40
kt,6,1,5,2.143,1.565,15
3분기,3,0,3,0.429,1.554,6
4년치,3,0,3,0.429,1.554,3
53,3,0,3,0.429,1.554,3
clenox,3,0,3,0.429,1.554,3
가속화,3,0,3,0.429,1.554,4
김헌곤,3,0,3,0.429,1.554,3
넷마블,3,0,3,0.429,1.554,3
단일,3,0,3,0.429,1.554,3
비전옥스,3,0,3,0.429,1.554,3
시급,3,0,3,0.429,1.554,3
시리즈,3,0,3,0.429,1.554,5
우편사업진흥원,3,0,3,0.429,1.554,3
주문,3,0,3,0.429,1.554,4
중대재해,3,0,3,0.429,1.554,3
차별도,3,0,3,0.429,1.554,3
축하헤,3,0,3,0.429,1.554,3
키보드,3,0,3,0.429,1.554,3
타점,3,0,3,0.429,1.554,3
파트너들과,3,0,3,0.429,1.554,3
흑자전환,3,0,3,0.429,1.554,4
메타,5,0,5,1.571,1.521,12
글래스,4,0,4,1.0,1.5,7
개인정보,3,0,3,0.571,1.383,4
엘리트,3,0,3,0.571,1.383,4
유출,3,0,3,0.571,1.383,4
축하,3,0,3,0.571,1.383,4
2종,3,1,2,0.571,1.383,4
탑재,3,1,2,0.571,1.383,4
아이폰,4,2,2,1.143,1.381,12
대상,4,3,1,1.143,1.381,9
실적,4,4,0,1.286,1.272,18
협력사,4,4,0,1.286,1.272,9
본격화,5,1,4,2.0,1.243,17
생태계,3,0,3,0.714,1.239,7
아닌,3,1,2,0.714,1.239,6
노트북,3,2,1,0.714,1.239,11
차량,3,2,1,0.714,1.239,5
14,2,0,2,0.286,1.117,2
15년,2,0,2,0.286,1.117,2
28일,2,0,2,0.286,1.117,3
29일,2,0,2,0.286,1.117,2
3월,2,0,2,0.286,1.117,2
4matic,2,0,2,0.286,1.117,2
4년만에,2,0,2,0.286,1.117,2
after,2,0,2,0.286,1.117,3
amd,2,0,2,0.286,1.117,2
amg,2,0,2,0.286,1.117,2
cbt,2,0,2,0.286,1.117,2
cle,2,0,2,0.286,1.117,2
ela,2,0,2,0.286,1.117,2
esg,2,0,2,0.286,1.117,2
it용,2,0,2,0.286,1.117,2
k70,2,0,2,0.286,1.117,2
lg이노텍,2,0,2,0.286,1.117,2
origin,2,0,2,0.286,1.117,2
ps5,2,0,2,0.286,1.117,2
rog,2,0,2,0.286,1.117,2
strix,2,0,2,0.286,1.117,2
tgs,2,0,2,0.286,1.117,2
ut,2,0,2,0.286,1.117,2
with,2,0,2,0.286,1.117,5
x2,2,0,2,0.286,1.117,2
개의,2,0,2,0.286,1.117,2
게임,2,0,2,0.286,1.117,4
경남도,2,0,2,0.286,1.117,2
고주사율,2,0,2,0.286,1.117,2
공세,2,0,2,0.286,1.117,2
구광모의,2,0,2,0.286,1.117,2
국내외,2,0,2,0.286,1.117,2
내달,2,0,2,0.286,1.117,2
다이내믹,2,0,2,0.286,1.117,2
대죄,2,0,2,0.286,1.117,2
대책,2,0,2,0.286,1.117,2
도쿄게임쇼,2,0,2,0.286,1.117,2
동일하이빌,2,0,2,0.286,1.117,2
디바이스,2,0,2,0.286,1.117,2
러닝,2,0,2,0.286,1.117,2
맑음,2,0,2,0.286,1.117,2
맞춤,2,0,2,0.286,1.117,3
매력,2,0,2,0.286,1.117,2
멋진,2,0,2,0.286,1.117,2
무더기,2,0,2,0.286,1.117,2
미래나노텍,2,0,2,0.286,1.117,2
박수치는,2,0,2,0.286,1.117,2
박시영,2,0,2,0.286,1.117,2
받으세요,2,0,2,0.286,1.117,2
벤츠코리아,2,0,2,0.286,1.117,2
봄꽃만개,2,0,2,0.286,1.117,2
부품주,2,0,2,0.286,1.117,2
붉은사막,2,0,2,0.286,1.117,2
브랜드,2,0,2,0.286,1.117,2
사파리,2,0,2,0.286,1.117,2
서울데이터랩,2,0,2,0.286,1.117,2
선보여,2,0,2,0.286,1.117,3
소액결제,2,0,2,0.286,1.117,2
수비였어,2,0,2,0.286,1.117,2
수혜,2,0,2,0.286,1.117,2
스토어,2,0,2,0.286,1.117,2
신한,2,0,2,0.286,1.117,2
신한투자,2,0,2,0.286,1.117,2
아산탕정,2,0,2,0.286,1.117,2
아이폰18,2,0,2,0.286,1.117,2
아일랜드,2,0,2,0.286,1.117,2
업데이트,2,0,2,0.286,1.117,17
에버랜드서,2,0,2,0.286,1.117,2
역대,2,0,2,0.286,1.117,2
역투하는,2,0,2,0.286,1.117,2
열어,2,0,2,0.286,1.117,3
완벽한,2,0,2,0.286,1.117,2
움직이는,2,0,2,0.286,1.117,2
워치런,2,0,2,0.286,1.117,2
원자층,2,0,2,0.286,1.117,2
이렇게,2,0,2,0.286,1.117,2
이민자,2,0,2,0.286,1.117,2
이벤트,2,0,2,0.286,1.117,3
인형,2,0,2,0.286,1.117,2
일곱,2,0,2,0.286,1.117,2
자본,2,0,2,0.286,1.117,2
자원,2,0,2,0.286,1.117,2
제어까지,2,0,2,0.286,1.117,2
종합대책,2,0,2,0.286,1.117,2
차별,2,0,2,0.286,1.117,2
참가,2,0,2,0.286,1.117,5
체결,2,0,2,0.286,1.117,7
컴투스,2,0,2,0.286,1.117,2
쿠페,2,0,2,0.286,1.117,2
클레녹스,2,0,2,0.286,1.117,2
투입,2,0,2,0.286,1.117,2
파크레인,2,0,2,0.286,1.117,2
펄어비스,2,0,2,0.286,1.117,2
협력사와,2,0,2,0.286,1.117,2
협력으로,2,0,2,0.286,1.117,2
홈클리닉,2,0,2,0.286,1.117,2
확인,2,0,2,0.286,1.117,2
휴온스그룹,2,0,2,0.286,1.117,2
흥행에,2,0,2,0.286,1.117,2
xr,3,0,3,0.857,1.113,6
전환,3,0,3,0.857,1.113,10
품질,3,3,0,0.857,1.113,6
아이폰17,8,5,3,4.571,1.093,39
4대,2,0,2,0.429,0.95,3
at,2,0,2,0.429,0.95,4
가격,2,0,2,0.429,0.95,3
개발,2,0,2,0.429,0.95,6
공략,2,0,2,0.429,0.95,6
그룹,2,0,2,0.429,0.95,3
깜짝,2,0,2,0.429,0.95,3
대화,2,0,2,0.429,0.95,3
라인,2,0,2,0.429,0.95,4
사업,2,0,2,0.429,0.95,3
신기술,2,0,2,0.429,0.95,3
예방,2,0,2,0.429,0.95,3
유치,2,0,2,0.429,0.95,4
파트너,2,0,2,0.429,0.95,4
확정,2,0,2,0.429,0.95,6
대세,2,1,1,0.429,0.95,3
없이,2,1,1,0.429,0.95,3
에이수스,2,1,1,0.429,0.95,3
출격,2,1,1,0.429,0.95,3
한화,2,1,1,0.429,0.95,3
공개,7,4,3,4.143,0.941,35
갤럭시,4,0,4,1.857,0.907,14
게이밍,4,5,-1,2.0,0.828,16
모니터,2,0,2,0.571,0.814,12
생물다양성,2,0,2,0.571,0.814,4
성남시,2,0,2,0.571,0.814,5
탐사,2,0,2,0.571,0.814,4
도약,2,1,1,0.571,0.814,8
리뷰,2,1,1,0.571,0.814,4
안양시,2,1,1,0.571,0.814,4
종합,2,1,1,0.571,0.814,5
폴더블,2,1,1,0.571,0.814,5
10주년,2,2,0,0.571,0.814,4
맥스,2,2,0,0.571,0.814,4
비전,2,2,0,0.571,0.814,5
흥행,3,3,0,1.286,0.803,10
ai,13,8,5,9.714,0.798,126
2025,16,7,9,12.429,0.789,115
성장,3,0,3,1.429,0.716,12
안전,3,1,2,1.429,0.716,11
커세어,3,1,2,1.429,0.716,10
프리미엄,3,1,2,1.429,0.716,10
스마트폰,3,2,1,1.429,0.716,11
pc,3,4,-1,1.429,0.716,10
노린다,2,0,2,0.714,0.697,5
들썩,2,0,2,0.714,0.697,5
전시,2,3,-1,0.714,0.697,11
전자,2,3,-1,0.714,0.697,5
아이비젼웍스,3,0,3,1.571,0.634,11
앞두고,3,6,-3,1.571,0.634,12
00,1,0,1,0.143,0.622,1
000만,1,0,1,0.143,0.622,1
110만원,1,0,1,0.143,0.622,1
13개,1,0,1,0.143,0.622,1
147타점,1,0,1,0.143,0.622,1
147타점으로,1,0,1,0.143,0.622,1
15년차,1,0,1,0.143,0.622,1
1859억원,1,0,1,0.143,0.622,1
1월,1,0,1,0.143,0.622,1
1위로,1,0,1,0.143,0.622,1
1인,1,0,1,0.143,0.622,1
20,1,0,1,0.143,0.622,2
2000대,1,0,1,0.143,0.622,1
2025에서,1,0,1,0.143,0.622,1
20여,1,0,1,0.143,0.622,1
25일,1,0,1,0.143,0.622,1
26,1,0,1,0.143,0.622,1
2호선에,1,0,1,0.143,0.622,1
30,1,0,1,0.143,0.622,1
300,1,0,1,0.143,0.622,1
35조7000억원,1,0,1,0.143,0.622,1
36분,1,0,1,0.143,0.622,1
380억,1,0,1,0.143,0.622,1
390,1,0,1,0.143,0.622,1
3d,1,0,1,0.143,0.622,1
3곡,1,0,1,0.143,0.622,1
3년새,1,0,1,0.143,0.622,1
3년후,1,0,1,0.143,0.622,1
3번,1,0,1,0.143,0.622,1
3살,1,0,1,0.143,0.622,1
3호,1,0,1,0.143,0.622,1
40곳,1,0,1,0.143,0.622,1
46,1,0,1,0.143,0.622,2
46억원,1,0,1,0.143,0.622,1
5g,1,0,1,0.143,0.622,1
600일,1,0,1,0.143,0.622,1
62만원에,1,0,1,0.143,0.622,1
6g,1,0,1,0.143,0.622,1
6g용,1,0,1,0.143,0.622,1
6개월간,1,0,1,0.143,0.622,1
6년간,1,0,1,0.143,0.622,1
750e,1,0,1,0.143,0.622,1
760억,1,0,1,0.143,0.622,1
799달러,1,0,1,0.143,0.622,1
