org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
11년만에,1,1,2,0,1,2,4
123대,0,1,2,3,1,2,4
1위,3,5,1,3,3,2,1
3대,0,1,3,2,3,4,1
52명,0,1,1,3,3,2,3
5일간,1,1,2,0,1,2,4
66만2000건,1,2,2,3,1,1,3
7월부터,1,2,2,3,1,1,3
AI,2,11,18,16,19,21,17
ChatGPT,0,2,3,1,1,1,2
DB,2,2,5,2,5,3,3
DB그룹,2,2,5,2,5,3,3
DB하이텍,2,2,5,2,5,3,3
G03-8236672469,0,4,4,2,3,4,5
HB테크놀러지,3,4,5,4,4,5,2
HD한국조선해양,3,2,1,2,1,0,1
KB금융,3,1,2,4,5,2,2
KODEX,1,3,5,5,4,4,3
LG디스플레,4,4,4,3,3,2,1
LG디스플레이,4,4,1,3,1,0,0
LG전자,3,5,3,2,1,1,0
MOU,1,1,0,4,2,2,2
NSP통신,0,4,4,2,3,4,5
OLED,14,18,9,11,8,5,2
One,0,2,1,1,2,3,3
OpenAI,0,2,3,1,1,1,2
P-OLED,4,4,4,3,3,2,1
PC,3,5,1,3,2,2,1
SK에어플러스,1,1,0,4,2,2,2
SK텔레콤,0,2,3,1,1,1,2
SUS,4,4,1,3,1,0,0
TIGER,1,3,5,5,4,4,3
UI,0,2,1,1,2,3,3
가능하다.,4,3,4,4,4,5,4
가스안전,1,1,0,4,2,2,2
가스안전공사,1,1,0,4,2,2,2
가전,1,2,2,3,1,1,3
감가상각,4,4,1,3,1,0,0
감소했다.,1,1,4,2,0,1,0
강세,3,2,1,2,1,0,1
강화,1,1,3,5,3,3,5
강화해,1,1,0,4,2,2,2
개헌,0,1,2,3,1,2,4
갤럭시,0,2,1,1,2,3,3
거래일,3,4,5,4,4,5,2
것으로,5,7,6,8,5,4,3
경기,0,1,3,2,3,4,1
경기도,1,1,4,2,0,1,0
경기도의회,0,1,2,0,2,2,4
경기도지사,0,1,3,2,3,4,1
경기주택도시공사,0,1,3,2,3,4,1
경제,1,1,2,0,2,3,4
계약,2,2,5,2,5,3,3
고객,0,2,3,1,1,1,2
공급망,3,5,1,3,2,2,1
공동,3,3,5,9,7,7,7
공식,1,1,3,4,4,5,1
과제,0,1,2,3,1,2,4
과제로,0,1,2,3,1,2,4
관계자,4,3,4,4,4,5,4
관계자들,3,5,1,3,2,2,1
관내,0,2,1,2,4,3,3
교류,2,2,1,4,3,3,1
교수,0,1,1,3,3,2,3
교육,1,2,2,4,4,4,6
구성,0,1,1,3,3,2,3
국가인공지능,0,1,1,3,3,2,3
국민,1,3,4,6,2,3,7
국민투표,0,1,2,3,1,2,4
국정과제,0,1,2,3,1,2,4
국제,2,2,1,4,3,3,1
규모,0,2,1,2,4,3,3
그룹,2,2,5,2,5,3,3
금속봉지,4,4,1,3,1,0,0
기능,0,4,4,2,3,4,5
기록하면서,1,1,4,2,0,1,0
기록해,1,1,4,2,0,1,0
기반,8,5,9,12,13,12,7
기아,2,1,1,3,1,1,1
기업들,3,5,1,3,3,2,1
기자,1,1,0,4,2,2,2
기준,3,5,1,3,3,2,1
기회타운,0,1,3,2,3,4,1
기후위기,3,1,2,4,5,2,2
긴장에,3,2,1,2,1,0,1
김남호,2,2,5,2,5,3,3
김동연,0,1,3,2,3,4,1
까르마,3,1,2,4,5,2,2
나라,1,1,2,0,1,2,4
나선다.,0,2,1,2,4,3,3
내수,1,2,2,3,1,1,3
노을,1,3,5,5,4,4,3
뉴스타운,0,2,1,2,4,3,3
뉴스토마토,3,5,1,3,3,2,1
늘었다.,1,1,4,2,0,1,0
다빈치모텔,2,1,1,3,1,1,1
다양한,4,3,4,4,4,5,4
달러,1,1,4,2,0,1,0
담겼다.,0,1,2,3,1,2,4
당시,0,1,1,3,3,2,3
대비,5,8,14,11,8,10,5
대상으로,3,5,3,2,1,1,0
대응,1,1,2,0,2,3,4
대통령,0,1,2,3,1,2,4
대표,0,2,1,2,4,3,3
대한,1,1,2,0,2,3,4
대형,4,4,1,3,1,0,0
도입,0,1,2,3,1,2,4
동반,3,2,1,2,1,0,1
동사,4,4,4,3,3,2,1
드론,4,3,4,4,4,5,4
디스플레,13,17,9,17,13,13,6
따르면,7,9,7,5,4,3,1
땡겨요,3,1,2,4,5,2,2
랠리,2,1,1,3,1,1,1
로봇,4,3,4,4,4,5,4
로오딘,2,2,1,4,3,3,1
마감했다.,1,3,5,5,4,4,3
마케팅,3,1,2,4,5,2,2
만남,2,2,1,4,3,3,1
매출,1,2,2,3,1,1,3
멀티모달,0,2,1,1,2,3,3
메타씨앤아이,1,1,3,4,4,5,1
명예회장,2,2,5,2,5,3,3
모니터용,4,4,1,3,1,0,0
모바일,3,5,1,3,2,2,1
무료,0,2,3,1,1,1,2
문화,1,1,2,0,1,2,4
미국,1,1,4,2,0,1,0
미스터블루,1,3,5,5,4,4,3
민간위원,0,1,1,3,3,2,3
민생회복,3,1,2,4,5,2,2
바이오,0,1,3,2,3,4,1
반도체,7,8,14,14,12,15,5
반사이익,4,4,4,3,3,2,1
밝혔다.,3,5,9,12,6,7,12
방산주,3,2,1,2,1,0,1
방안,0,1,2,3,1,2,4
배터리,4,3,4,4,4,5,4
백신,2,2,2,4,4,4,2
번째로,0,1,3,2,3,4,1
벤지오,0,1,1,3,3,2,3
보건,1,1,2,0,2,3,4
보고회,0,1,2,0,2,2,4
보안,0,2,1,1,2,3,3
보행,4,3,4,4,4,5,4
본사,1,1,3,4,4,5,1
부문,4,4,4,3,3,2,1
부진,1,1,4,2,0,1,0
북극항로,1,1,3,5,3,3,5
분과위원,0,1,1,3,3,2,3
분과위원회,0,1,1,3,3,2,3
불만,3,1,2,4,5,2,2
빛이,4,4,1,3,1,0,0
사례,0,1,2,0,2,2,4
사업,8,12,13,14,9,10,10
사업부,3,5,3,2,1,1,0
산업,10,13,10,17,17,18,10
산업부,1,2,2,3,1,1,3
산업현장,1,1,0,4,2,2,2
삼성디스플레,3,5,1,3,3,2,1
삼성디스플레이,3,5,1,3,3,2,1
삼성전자,3,7,4,3,3,4,3
상승했다.,3,2,1,2,1,0,1
생명과학,2,2,2,4,4,4,2
생산,3,4,5,4,4,5,2
생성형,0,1,2,0,2,2,4
석좌교수,0,1,1,3,3,2,3
설계,1,1,3,4,4,5,1
성능,4,3,4,4,4,5,4
성장,3,1,2,4,5,2,2
세계,4,6,5,2,2,3,4
세계우표전시회,1,1,2,0,1,2,4
세계적,2,2,2,4,4,4,2
세미나,3,5,1,3,2,2,1
소비자,3,1,2,4,5,2,2
소비쿠폰,3,1,2,4,5,2,2
소재로,4,4,1,3,1,0,0
솔루션,4,3,4,4,4,5,4
수익성,4,4,4,3,3,2,1
수출,1,1,4,2,0,1,0
스마트폰,4,4,4,3,3,2,1
스마트폰용,4,4,4,3,3,2,1
스타챔피언십,3,1,2,4,5,2,2
시그마인텔,3,5,1,3,2,2,1
시리즈,0,2,1,1,2,3,3
시스템반도체,1,1,3,4,4,5,1
시작으로,0,2,1,1,2,3,3
시장에서,3,5,3,2,1,1,0
시흥,0,2,1,2,4,3,3
시흥시,0,2,1,2,4,3,3
신규,1,3,6,6,4,4,7
신제품,4,4,4,3,3,2,1
실적,7,6,5,5,4,2,2
아들,2,2,5,2,5,3,3
아버지,2,2,5,2,5,3,3
아시아,1,1,2,0,2,3,4
아이씨티케,3,2,1,2,1,0,1
아트스테이션,1,1,3,5,3,3,5
안양,0,1,3,2,3,4,1
안전,0,2,1,2,4,3,3
안전도시,0,2,1,2,4,3,3
안전산업박람회,0,2,1,2,4,3,3
애플,1,1,2,0,1,2,1
양국,2,2,2,4,4,4,2
업데이트,0,2,1,1,2,3,3
역사,1,1,2,0,1,2,4
연구,0,1,2,0,2,2,4
연구원,3,2,1,2,1,0,1
열리,0,2,1,2,4,3,3
열팽창계수,4,4,1,3,1,0,0
예산,1,2,2,3,1,1,3
예상,4,4,4,3,3,2,1
예술,1,1,2,0,1,2,4
오는,5,6,2,6,3,3,2
오른,1,3,5,5,4,4,3
올인원,2,1,1,3,1,1,1
올해,1,2,2,3,1,1,3
용인,0,1,3,2,3,4,1
우수,0,2,1,2,4,3,3
우표,1,1,2,0,1,2,4
운영,1,1,3,5,3,3,5
웹툰,1,3,5,5,4,4,3
위한,4,4,3,8,7,8,7
위해,2,3,4,3,3,4,7
유리기판,4,4,1,3,1,0,0
으뜸효율,1,2,2,3,1,1,3
의결권,2,2,5,2,5,3,3
의원,0,1,2,0,2,2,4
이날,1,5,8,8,9,8,10
이미지,3,1,2,4,5,2,2
이미지스,1,3,5,5,4,4,3
이번,6,10,12,15,17,19,17
이스라엘군,3,2,1,2,1,0,1
이재명,0,1,1,3,3,2,3
이재용,1,1,0,4,2,2,2
이전,1,1,3,4,4,5,1
이차전지,3,4,5,4,4,5,2
인공지능,0,1,2,0,2,2,4
인덕원,0,1,3,2,3,4,1
인도,4,4,3,8,7,7,3
인바,4,4,1,3,1,0,0
일제히,3,2,1,2,1,0,1
임직원,1,1,3,5,3,3,5
있는,3,5,1,3,3,2,1
있다,1,1,2,0,2,3,4
있다.,26,29,36,36,35,33,24
있습니다.,3,5,1,3,3,2,1
있으며,1,1,2,0,1,2,4
자동차,1,1,4,2,0,1,0
장관,1,1,2,0,2,3,4
장비,3,4,5,4,4,5,2
장시간,4,3,4,4,4,5,4
장을,1,3,5,5,4,4,3
전년동기대비,1,1,4,2,0,1,0
전략,3,5,1,3,2,2,1
전략위원회,0,1,1,3,3,2,3
전시된다.,1,1,2,0,1,2,4
전환,3,5,3,2,1,1,0
점유율,6,10,4,5,4,3,1
접견,2,2,1,4,3,3,1
정부,0,1,2,3,1,2,4
제15차,1,1,2,0,2,3,4
제고,1,1,0,4,2,2,2
제로원,2,1,1,3,1,1,1
제어,4,3,4,4,4,5,4
제이앤티씨,3,4,5,4,4,5,2
제조,5,6,7,8,8,9,4
제조사,3,5,1,3,2,2,1
제주,1,1,3,4,4,5,1
제주도,1,1,3,4,4,5,1
제품,1,2,2,3,1,1,3
주가,3,2,1,2,1,0,1
주요,0,2,1,1,2,3,3
주주,2,2,5,2,5,3,3
준공,0,1,3,2,3,4,1
중간,0,1,2,0,2,2,4
중국,9,15,5,8,6,5,2
중동,3,2,1,2,1,0,1
증가했다.,1,1,4,2,0,1,0
지난,3,5,1,3,3,2,1
지분,2,2,5,2,5,3,3
지사,0,1,3,2,3,4,1
지상,3,2,1,2,1,0,1
직원,0,1,2,0,2,2,4
차량용,3,5,1,3,3,2,1
차이,4,4,1,3,1,0,0
창업회장,2,2,5,2,5,3,3
첨단,3,3,5,8,8,9,3
첨단산업,1,1,0,4,2,2,2
청색,2,2,1,4,3,3,1
추진,0,1,2,3,1,2,4
출시,4,4,4,3,3,2,1
충북보건과학대학교,1,1,0,4,2,2,2
친환경,3,1,2,4,5,2,2
칠레,2,1,1,3,1,1,1
켐트로닉스,3,4,5,4,4,5,2
코오롱모빌리티그룹,1,3,5,5,4,4,3
크게,4,4,4,3,3,2,1
태안군,1,1,3,5,3,3,5
태평양,1,1,2,0,2,3,4
택시,2,1,1,3,1,1,1
텔랑가나,2,2,2,4,4,4,2
텔랑가나주,2,2,2,4,4,4,2
통해,6,5,9,9,8,10,13
특히,2,2,1,4,3,3,1
판교에서,3,5,1,3,2,2,1
판매하,3,4,5,4,4,5,2
패널,6,10,2,6,5,4,2
폴스타,2,1,1,3,1,1,1
프로그램,1,1,2,0,1,2,4
프로젝트,3,3,7,10,7,8,7
프리미엄,3,5,3,2,1,1,0
플러스,0,2,3,1,1,1,2
플립,0,2,1,1,2,3,3
필옵틱스,3,4,5,4,4,5,2
필요하다,0,1,2,0,2,2,4
한국,6,8,7,9,6,7,3
한국타이어,2,1,1,3,1,1,1
함께,1,2,5,8,4,5,9
해상풍력,1,1,3,5,3,3,5
해킹,3,2,1,2,1,0,1
했다.,1,1,2,0,2,3,4
행정안전부,0,2,1,2,4,3,3
헬스,1,1,2,0,2,3,4
혁신,2,2,2,4,4,4,2
현대카드,2,1,1,3,1,1,1
협력,6,8,11,14,13,14,14
협약,3,3,1,8,5,5,3
화성시,2,2,1,4,3,3,1
환급,1,2,2,3,1,1,3
활동,0,1,1,3,3,2,3
활용,0,1,2,0,2,2,4
활용할,0,1,2,0,2,2,4
회복,1,2,2,3,1,1,3
회장,2,2,5,2,5,3,3
희망퇴직,3,5,3,2,1,1,0
