org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
1사,1,1,2,2,1,1,0
1하천,1,1,2,2,1,1,0
2월,4,0,1,3,1,2,2
AI,25,9,22,19,13,24,20
APEC,3,0,1,5,2,3,2
Base,3,0,0,2,2,3,4
BONE,3,0,1,1,2,1,2
ChatGPT,5,1,4,4,3,4,3
DB,4,3,3,3,4,4,3
DB그룹,4,3,3,3,4,4,3
DB하이텍,4,3,3,3,4,4,3
Display,3,4,1,3,1,2,2
EU,4,0,3,1,1,3,1
FIVB,3,0,0,2,2,1,1
Glass,3,4,1,3,1,2,2
HB테크놀러지,4,5,4,3,3,4,4
HD한국조선해양,3,3,1,0,1,0,0
KB금융,3,2,4,3,3,5,4
KODEX,5,4,4,4,3,4,4
KOVO,3,0,0,2,2,1,1
KPR,2,2,4,2,3,5,4
LG디스플레,4,4,2,3,1,3,2
LG디스플레이,2,3,1,2,1,1,1
LG전자,2,3,3,2,2,1,0
MOU,2,1,2,3,3,1,2
OLED,11,14,7,10,5,7,5
OpenAI,5,1,4,4,3,4,3
P-OLED,4,4,2,3,1,3,2
PC,4,2,4,3,0,2,3
SHIB,3,0,1,1,2,1,2
SKT,5,1,4,4,3,4,3
SK에어플러스,2,1,2,3,3,1,2
SUS,2,3,1,2,1,1,1
TGV,3,4,1,3,1,2,2
TIGER,5,4,4,4,3,4,4
USDC,3,0,0,2,2,3,4
가꾸기,1,1,2,2,1,1,0
가능하다.,4,3,4,4,5,5,5
가스안전,2,1,2,3,3,1,2
가스안전공사,2,1,2,3,3,1,2
감가상각,2,3,1,2,1,1,1
강세,3,3,1,0,1,0,0
강좌,2,0,1,3,1,1,1
강화,4,1,2,5,3,2,3
강화해,2,1,2,3,3,1,2
거래일,4,5,4,3,3,4,4
거버넌스,3,0,0,2,2,3,4
것으로,13,11,6,11,7,10,11
결과,2,2,4,2,3,5,4
경기,3,0,0,2,2,1,1
경기북부,3,0,2,3,5,4,4
경주,2,0,3,3,5,2,2
계약,4,3,3,3,4,4,3
계열사,1,1,2,2,1,1,0
고객,5,1,4,4,3,4,3
고위급,3,0,1,5,2,3,2
공격자,3,0,1,1,2,1,2
공급망,4,2,4,3,0,2,3
공단,3,0,1,5,2,3,2
공동,12,5,10,10,9,11,10
공식,6,2,6,3,3,6,7
관계자,4,3,4,4,5,5,5
관계자들,4,2,4,3,0,2,3
관광,3,0,2,3,5,4,4
교류,1,4,4,0,2,2,3
교육,2,1,2,3,3,1,2
국가대표,3,0,0,2,2,1,1
국가산단,2,0,3,3,5,2,2
국제,1,4,4,0,2,2,3
그는,3,0,1,1,2,1,2
그룹,4,3,3,3,4,4,3
금속봉지,2,3,1,2,1,1,1
기반,13,7,15,12,14,19,18
기자,2,1,2,3,3,1,2
기후위기,5,4,8,5,6,10,8
긴장에,3,3,1,0,1,0,0
김남호,4,3,3,3,4,4,3
까르마,3,2,4,3,3,5,4
넘어,3,0,2,3,5,4,4
노을,5,4,4,4,3,4,4
다시금,4,0,3,1,1,3,1
다양한,4,3,4,4,5,5,5
대구,2,0,3,3,5,2,2
대비,9,9,8,7,6,8,8
대상으로,2,3,3,2,2,1,0
대통령,2,0,3,3,5,2,2
대표단,4,0,3,1,1,3,1
대형,2,3,1,2,1,1,1
대회,3,0,0,2,2,1,1
도시,3,0,2,3,5,4,4
동반,3,3,1,0,1,0,0
동사,4,4,2,3,1,3,2
드론,4,3,4,4,5,5,5
디스플레,9,11,12,6,5,8,10
따르면,6,7,5,5,3,4,2
땡겨요,3,2,4,3,3,5,4
로봇,4,3,4,4,5,5,5
로오딘,1,4,4,0,2,2,3
리서치,5,1,4,4,3,4,3
마감했다.,5,4,4,4,3,4,4
마음,2,0,1,3,1,1,1
마케팅,5,4,8,5,6,10,8
만남,1,4,4,0,2,2,3
매출,3,4,1,3,1,2,2
메타씨앤아이,3,2,5,2,1,5,5
명예회장,4,3,3,3,4,4,3
모니터용,2,3,1,2,1,1,1
모바일,4,2,4,3,0,2,3
문의,4,0,1,3,1,2,2
문제,2,2,4,2,3,5,4
문화,3,0,2,3,5,4,4
