org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
AMD,2.97 (1%),,2.08 (0%),2.33 (1%),4.33 (1%),2.89 (0%),2.97 (1%),2.17 (0%)
ASUS,0.74 (0%),1.03 (1%),5.55 (1%),3.11 (1%),1.44 (0%),2.89 (0%),1.49 (0%),0.72 (0%)
BMW,,1.03 (1%),0.69 (0%),1.55 (0%),0.72 (0%),2.17 (0%),2.97 (1%),2.17 (0%)
BOE,14.86 (3%),3.09 (3%),15.25 (3%),13.20 (3%),27.44 (4%),31.77 (5%),16.34 (4%),4.33 (1%)
BYD,,2.06 (2%),0.69 (0%),0.78 (0%),0.72 (0%),0.72 (0%),4.46 (1%),2.89 (1%)
CES,4.46 (1%),1.03 (1%),2.08 (0%),,2.17 (0%),2.17 (0%),,1.44 (0%)
CSOT,8.91 (2%),,9.70 (2%),6.21 (2%),14.44 (2%),20.94 (3%),2.97 (1%),2.89 (1%)
HP,3.71 (1%),,4.85 (1%),3.11 (1%),1.44 (0%),2.89 (0%),2.23 (1%),1.44 (0%)
Harman,,1.03 (1%),2.08 (0%),1.55 (0%),1.44 (0%),0.72 (0%),2.97 (1%),0.72 (0%)
IoT,2.23 (0%),1.03 (1%),3.47 (1%),3.11 (1%),5.05 (1%),3.61 (1%),4.46 (1%),7.22 (2%)
LG디스플레이,39.37 (7%),9.27 (10%),33.27 (7%),28.73 (7%),60.66 (9%),52.72 (8%),19.32 (4%),13.00 (3%)
LG전자,31.95 (6%),5.15 (6%),24.26 (5%),46.59 (11%),46.22 (7%),39.00 (6%),19.32 (4%),26.72 (6%)
LG화학,9.66 (2%),2.06 (2%),9.01 (2%),9.32 (2%),10.11 (1%),7.94 (1%),2.97 (1%),11.55 (3%)
SID,4.46 (1%),1.03 (1%),2.08 (0%),,2.17 (0%),2.17 (0%),,1.44 (0%)
SK하이닉스,29.72 (6%),3.09 (3%),18.71 (4%),15.53 (4%),26.72 (4%),22.39 (3%),13.37 (3%),40.44 (9%)
TCL,2.97 (1%),,4.16 (1%),3.11 (1%),7.22 (1%),6.50 (1%),1.49 (0%),2.17 (0%)
Tianma,3.71 (1%),,3.47 (1%),1.55 (0%),5.78 (1%),7.94 (1%),1.49 (0%),2.17 (0%)
V2X,2.23 (0%),,1.39 (0%),1.55 (0%),3.61 (1%),2.89 (0%),1.49 (0%),6.50 (1%)
Visionox,8.91 (2%),,9.01 (2%),5.44 (1%),14.44 (2%),20.22 (3%),4.46 (1%),5.05 (1%)
구글,14.12 (3%),3.09 (3%),13.86 (3%),9.32 (2%),18.05 (3%),13.72 (2%),23.03 (5%),20.94 (5%)
기아,19.32 (4%),2.06 (2%),18.02 (4%),11.65 (3%),15.16 (2%),17.33 (3%),10.40 (2%),30.33 (7%)
기아차,,,0.69 (0%),1.55 (0%),,0.72 (0%),0.74 (0%),0.72 (0%)
네이버,6.69 (1%),2.06 (2%),9.01 (2%),2.33 (1%),10.83 (2%),9.39 (1%),8.17 (2%),17.33 (4%)
디지타임스,1.49 (0%),,2.08 (0%),2.33 (1%),2.17 (0%),4.33 (1%),3.71 (1%),
마이크로소프트,1.49 (0%),,4.85 (1%),1.55 (0%),,,2.97 (1%),1.44 (0%)
메타,,,0.69 (0%),,0.72 (0%),,2.97 (1%),0.72 (0%)
미디어텍,2.23 (0%),1.03 (1%),3.47 (1%),3.11 (1%),5.05 (1%),3.61 (1%),4.46 (1%),7.22 (2%)
벤츠,1.49 (0%),3.09 (3%),2.77 (1%),3.11 (1%),2.17 (0%),3.61 (1%),2.97 (1%),2.89 (1%)
비보,3.71 (1%),,3.47 (1%),9.32 (2%),7.94 (1%),7.94 (1%),9.66 (2%),
삼성디스플레이,71.32 (13%),6.18 (7%),42.98 (9%),31.06 (8%),62.83 (9%),64.27 (10%),24.52 (6%),23.83 (5%)
삼성전자,99.55 (18%),14.41 (16%),72.09 (15%),54.36 (13%),126.37 (18%),101.82 (16%),55.72 (13%),77.99 (17%)
샤오미,5.20 (1%),2.06 (2%),8.32 (2%),10.87 (3%),10.83 (2%),10.83 (2%),14.12 (3%),0.72 (0%)
선익시스템,4.46 (1%),,4.16 (1%),3.11 (1%),7.22 (1%),10.11 (2%),0.74 (0%),0.72 (0%)
소니,1.49 (0%),,3.47 (1%),0.78 (0%),,,1.49 (0%),2.17 (0%)
아마존,2.97 (1%),1.03 (1%),3.47 (1%),3.88 (1%),5.05 (1%),2.89 (0%),5.94 (1%),2.89 (1%)
아이씨디,4.46 (1%),,4.16 (1%),1.55 (0%),7.22 (1%),8.67 (1%),0.74 (0%),2.17 (0%)
애플,38.63 (7%),9.27 (10%),47.83 (10%),50.47 (12%),62.10 (9%),62.83 (10%),95.09 (22%),18.78 (4%)
엔비디아,8.17 (2%),1.03 (1%),2.08 (0%),6.21 (2%),7.94 (1%),5.05 (1%),3.71 (1%),3.61 (1%)
오포,2.23 (0%),,2.08 (0%),5.44 (1%),5.78 (1%),5.05 (1%),4.46 (1%),
원익IPS,0.74 (0%),,0.69 (0%),,2.17 (0%),2.17 (0%),,0.72 (0%)
인텔,5.20 (1%),2.06 (2%),2.77 (1%),3.88 (1%),6.50 (1%),4.33 (1%),3.71 (1%),5.05 (1%)
카카오,5.94 (1%),,5.55 (1%),,6.50 (1%),7.22 (1%),3.71 (1%),13.00 (3%)
퀄컴,8.17 (2%),4.12 (5%),8.32 (2%),3.88 (1%),15.16 (2%),9.39 (1%),8.91 (2%),11.55 (3%)
폭스바겐,1.49 (0%),,1.39 (0%),1.55 (0%),2.89 (0%),0.72 (0%),2.23 (1%),2.17 (0%)
하이센스,1.49 (0%),,2.77 (1%),1.55 (0%),2.89 (0%),3.61 (1%),,0.72 (0%)
한미반도체,2.23 (0%),,1.39 (0%),1.55 (0%),3.61 (1%),2.89 (0%),1.49 (0%),6.50 (1%)
한화,6.69 (1%),,5.55 (1%),10.09 (2%),2.89 (0%),4.33 (1%),5.94 (1%),1.44 (0%)
한화솔루션,2.97 (1%),1.03 (1%),3.47 (1%),,3.61 (1%),3.61 (1%),,5.78 (1%)
한화시스템,2.97 (1%),,2.77 (1%),,3.61 (1%),3.61 (1%),1.49 (0%),6.50 (1%)
현대모비스,11.89 (2%),,9.70 (2%),6.21 (2%),10.83 (2%),10.83 (2%),5.20 (1%),21.66 (5%)
현대자동차,2.97 (1%),1.03 (1%),4.16 (1%),,6.50 (1%),3.61 (1%),1.49 (0%),8.67 (2%)
현대차,20.28 (4%),2.16 (2%),20.38 (4%),14.68 (3%),15.16 (2%),18.20 (3%),10.14 (2%),25.02 (5%)
화웨이,8.17 (2%),3.09 (3%),4.85 (1%),3.88 (1%),8.67 (1%),7.94 (1%),5.94 (1%),4.33 (1%)
