org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
and,2,2,2,2,2,2,2
Cooper,1,1,1,1,1,1,1
da,1,1,1,1,1,1,1
Gama,1,1,1,1,1,1,1
her,1,1,1,1,1,1,1
Hildegard,1,1,1,1,1,1,1
in,4,4,4,4,4,4,4
is,2,2,2,2,2,2,2
Mr.,1,1,1,1,1,1,1
music,1,1,1,1,1,1,1
Nowrasteh,1,1,1,1,1,1,1
of,4,4,4,4,4,4,4
other,1,1,1,1,1,1,1
Portuguese,1,1,1,1,1,1,1
president,1,1,1,1,1,1,1
that,1,1,1,1,1,1,1
the,8,8,8,8,8,8,8
The,2,2,2,2,2,2,2
to,2,2,2,2,2,2,2
unknown,2,2,2,2,2,2,2
Vasco,1,1,1,1,1,1,1
was,2,2,2,2,2,2,2
with,2,2,2,2,2,2,2
가마,1,1,1,1,1,1,1
그녀,1,1,1,1,1,1,1
성가,1,1,1,1,1,1,1
음악,1,1,1,1,1,1,1
인도,1,1,1,1,1,1,1
포르투갈,1,1,1,1,1,1,1
