org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
11일,3,2,5,0,2,2
2025년,3,2,2,0,2,0
45세,3,2,3,0,2,0
7의,2,1,3,5,3,1
AI,19,6,10,0,11,6
AI컴퓨팅센터,5,3,3,0,3,0
AMD,3,0,2,0,2,0
and,1,0,0,0,1,5
AR,2,1,1,0,1,0
BYD,2,2,6,10,5,1
BYD코리아가,2,2,6,10,5,1
climate,1,0,0,0,1,5
Climate,1,0,0,0,1,5
Download,3,5,4,1,2,2
File,3,5,4,1,2,2
IAA,9,6,7,2,15,5
ID.크로스,3,2,4,2,5,2
Impact,1,0,0,0,1,5
K-AI,5,0,1,0,1,0
Kakao,1,0,0,0,1,5
of,1,0,0,0,1,5
OLED,3,2,1,0,5,0
OLED는,3,2,2,0,5,3
Size,3,5,4,1,2,2
SUV,2,1,3,5,3,1
the,1,0,0,0,1,5
to,1,0,0,0,1,5
with,1,0,0,0,1,5
같은,3,2,5,0,1,3
검토,5,3,3,0,3,0
것으로,0,2,3,1,2,0
경기,2,1,2,1,2,0
경제,3,5,4,1,2,2
경제자유구역,2,1,2,1,2,0
고객,0,1,3,5,2,0
관리,3,2,3,0,2,0
관세,0,2,3,1,2,0
교육,3,2,3,0,3,1
국가,8,8,7,1,5,2
국내,2,2,6,10,5,1
그룹,3,2,2,0,2,0
글로벌,8,2,6,0,3,2
기반을,3,1,1,0,0,0
기업,2,1,2,1,2,0
김하영,3,2,2,0,2,0
내년,2,1,1,0,1,0
다양한,6,4,3,0,10,3
대한,3,2,3,0,2,0
데이터,3,2,5,0,1,3
두산에너빌리티,3,2,5,0,2,2
디바이스,5,0,1,0,1,0
디지털,3,2,3,0,2,0
딥러닝,3,0,2,0,2,0
마이데일리,3,2,2,0,2,0
맞춤형,5,0,1,0,1,0
매수,3,2,5,0,2,2
모레,3,0,2,0,2,0
모레는,3,0,2,0,2,0
모빌리티,6,4,5,2,10,2
미국,3,2,5,0,2,2
민간,5,3,3,0,3,0
밝혔다.,3,1,1,0,0,0
배송,2,1,1,0,1,0
번째,3,2,2,0,2,0
보유하고,3,2,5,0,2,2
보조,2,2,6,10,5,1
부문,3,2,5,0,2,2
부사장은,3,2,2,0,5,3
분산,3,0,2,0,2,0
브랜드,3,2,4,2,5,2
브레인핏45는,3,2,3,0,2,0
사양으로,0,1,3,5,2,0
사업,8,5,8,0,5,2
사업자의,3,1,1,0,0,0
삼성,6,4,3,0,10,3
삼성SDS,5,3,3,0,3,0
삼성디스플레이가,3,2,1,0,5,0
삼성디스플레이는,3,2,1,0,5,0
삼성중공업,3,2,5,0,2,2
서비스,5,3,3,0,3,0
서울,5,3,3,0,3,0
설명회,2,1,2,1,2,0
소비자용,2,1,1,0,1,0
수요,0,2,3,1,2,0
수익성,0,2,3,1,2,0
스마트,2,1,1,0,1,0
시스템을,3,0,2,0,2,0
시어스랩의,5,0,1,0,1,0
시장에,0,1,3,5,2,0
신산업,3,1,1,0,0,0
씨라이언,2,2,6,10,5,1
아마존이,2,1,1,0,1,0
안경을,2,1,1,0,1,0
에서,3,2,2,0,5,3
에스파,3,2,2,0,2,0
에이전트,3,2,5,0,1,3
에이전트가,3,2,5,0,1,3
에이전틱,3,2,5,0,1,3
연예일반,3,2,2,0,2,0
예방,3,2,3,0,2,0
울산이,3,1,1,0,0,0
웨어러블,5,0,1,0,1,0
위한,2,1,2,1,2,0
의미다.,0,2,3,1,2,0
의원은,3,1,1,0,0,0
이라고,3,2,2,0,5,3
이런,3,2,5,0,1,3
이를,3,2,5,0,1,3
이번,3,2,3,0,3,1
이벤트,3,2,5,0,1,3
이상,3,2,3,0,2,0
이준희,5,3,3,0,3,0
인해,3,5,4,1,2,2
있는,9,4,9,2,9,2
있다,6,4,3,0,10,3
있다.,17,16,25,4,15,9
자동차,3,2,4,2,5,2
자신의,3,2,3,0,3,1
전국,2,1,3,5,3,1
전기차,3,2,4,2,5,2
전동화,3,2,4,2,5,2
전력,3,1,1,0,0,0
전력을,3,1,1,0,0,0
전력조달,3,1,1,0,0,0
전자,0,2,3,1,2,0
전지,0,2,3,1,2,0
중형,2,1,3,5,3,1
지난해,0,2,3,1,2,0
지정,2,1,2,1,2,0
지정을,2,1,2,1,2,0
직접,3,1,1,0,0,0
진로,3,2,3,0,3,1
진학,3,2,3,0,3,1
차량용,3,2,2,0,5,3
최신,0,1,3,5,2,0
추론,3,0,2,0,2,0
출시를,2,1,1,0,1,0
충전,2,2,6,10,5,1
치매,3,2,3,0,2,0
카리나가,3,2,2,0,2,0
카리나의,3,2,2,0,2,0
캠프,3,2,3,0,3,1
컨퍼런스에,3,2,1,0,5,0
콘셉트,3,2,4,2,5,2
콘퍼런스,2,1,2,1,2,0
텐스토렌트,3,0,2,0,2,0
통신,5,0,1,0,1,0
통해,14,6,7,0,14,4
투자유치,2,1,2,1,2,0
파주시는,2,1,2,1,2,0
프라다,3,2,2,0,2,0
프랑스,3,5,4,1,2,2
프랑스는,3,5,4,1,2,2
프랑스의,3,5,4,1,2,2
플랫폼,5,0,1,0,1,0
학생들은,3,2,3,0,3,1
한다.,3,2,5,0,1,3
화학,0,2,3,1,2,0
활용한,3,2,3,0,3,1
