org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,,27.03 (2%),20.58 (1%),14.71 (2%),9.21 (1%),9.11 (1%),,11.58 (2%),20.10 (1%),10.25 (1%)
AUO,,18.02 (1%),16.46 (1%),10.51 (1%),19.12 (2%),13.31 (1%),,13.75 (2%),26.34 (2%),13.91 (1%)
BMW,,5.55 (0%),9.60 (1%),5.60 (1%),2.12 (0%),5.60 (0%),,1.45 (0%),11.78 (1%),5.86 (1%)
BOE,,54.07 (4%),39.78 (3%),37.83 (4%),69.40 (6%),77.06 (6%),,35.47 (6%),70.01 (4%),49.78 (5%)
BYD,,8.32 (1%),5.49 (0%),4.20 (0%),8.50 (1%),7.71 (1%),,1.45 (0%),9.70 (1%),8.78 (1%)
CES,,2.08 (0%),3.43 (0%),3.50 (0%),3.54 (0%),0.70 (0%),,0.72 (0%),1.39 (0%),2.93 (0%)
CSOT,,29.11 (2%),21.95 (2%),23.82 (3%),42.49 (3%),52.54 (4%),,16.65 (3%),38.82 (2%),32.94 (3%)
Counterpoint,,0.69 (0%),0.69 (0%),0.70 (0%),,,,0.72 (0%),,
HMI,,0.69 (0%),2.06 (0%),0.70 (0%),,0.70 (0%),,0.72 (0%),3.47 (0%),1.46 (0%)
Harman,,1.39 (0%),4.12 (0%),1.40 (0%),2.12 (0%),0.70 (0%),,,0.69 (0%),0.73 (0%)
IMID,,1.39 (0%),1.37 (0%),0.70 (0%),0.71 (0%),1.40 (0%),,0.72 (0%),1.39 (0%),0.73 (0%)
Innolux,,22.87 (2%),19.20 (1%),8.41 (1%),20.54 (2%),14.71 (1%),,15.20 (2%),31.88 (2%),17.57 (2%)
IoT,,7.62 (1%),17.15 (1%),7.71 (1%),6.37 (1%),7.71 (1%),,0.72 (0%),18.02 (1%),7.32 (1%)
JDI,,4.85 (0%),8.92 (1%),5.60 (1%),9.91 (1%),4.90 (0%),,2.90 (0%),12.48 (1%),3.66 (0%)
