org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
KAIST,,1.39 (0%),2.74 (0%),0.70 (0%),,,,,1.39 (0%),
LG디스플레이,,92.88 (8%),104.25 (7%),82.67 (9%),151.55 (12%),153.43 (13%),,60.09 (10%),155.96 (10%),82.72 (8%)
LG전자,33.59 (19%),55.45 (5%),74.76 (5%),60.95 (6%),47.45 (4%),35.03 (3%),,,64.46 (4%),56.37 (6%)
LG화학,1.34 (1%),4.85 (0%),15.09 (1%),9.11 (1%),5.67 (0%),5.60 (0%),,2.17 (0%),11.78 (1%),
MWC,,3.47 (0%),4.12 (0%),2.10 (0%),1.42 (0%),,1.96 (1%),3.62 (1%),2.77 (0%),2.93 (0%)
SID,,2.77 (0%),3.43 (0%),,2.12 (0%),2.10 (0%),0.98 (0%),2.90 (0%),3.47 (0%),1.46 (0%)
SK하이닉스,,48.52 (4%),72.02 (5%),29.42 (3%),24.08 (2%),25.92 (2%),,9.41 (1%),49.91 (3%),20.50 (2%)
Semiconductor,,7.62 (1%),14.40 (1%),6.31 (1%),4.25 (0%),7.01 (1%),,7.24 (1%),15.25 (1%),4.39 (0%)
TCL,,31.19 (3%),25.38 (2%),18.92 (2%),36.12 (3%),46.94 (4%),,18.10 (3%),37.43 (2%),51.24 (5%)
TSMC,,14.56 (1%),19.89 (1%),4.90 (1%),4.96 (0%),4.20 (0%),,2.90 (0%),16.64 (1%),5.86 (1%)
Tianma,,19.41 (2%),14.40 (1%),10.51 (1%),23.37 (2%),35.03 (3%),,16.65 (3%),31.19 (2%),15.37 (2%)
Toray,,0.69 (0%),1.37 (0%),,1.42 (0%),1.40 (0%),,3.62 (1%),3.47 (0%),0.73 (0%)
UDC,,2.08 (0%),3.43 (0%),1.40 (0%),2.83 (0%),0.70 (0%),,0.72 (0%),1.39 (0%),2.20 (0%)
V2X,,2.77 (0%),6.17 (0%),2.10 (0%),0.71 (0%),2.10 (0%),,1.45 (0%),4.85 (0%),2.20 (0%)
Visionox,,4.85 (0%),10.29 (1%),4.20 (0%),18.41 (1%),15.41 (1%),,6.52 (1%),20.79 (1%),8.05 (1%)
구글,,28.42 (2%),35.67 (3%),22.42 (2%),16.29 (1%),14.71 (1%),,18.82 (3%),30.50 (2%),21.96 (2%)
기아,,18.71 (2%),19.20 (1%),9.81 (1%),10.62 (1%),12.61 (1%),,2.17 (0%),15.25 (1%),8.05 (1%)
기아자동차,,4.85 (0%),2.74 (0%),1.40 (0%),4.25 (0%),2.10 (0%),,0.72 (0%),4.16 (0%),4.39 (0%)
네이버,4.03 (2%),6.24 (1%),8.23 (1%),4.90 (1%),,2.10 (0%),6.84 (3%),,2.08 (0%),4.39 (0%)
도우인시스,,,1.37 (0%),2.80 (0%),2.12 (0%),0.70 (0%),,0.72 (0%),1.39 (0%),
디지타임스,,2.77 (0%),2.74 (0%),0.70 (0%),7.79 (1%),7.01 (1%),,2.90 (0%),8.32 (1%),1.46 (0%)
레노버,,2.08 (0%),1.37 (0%),,2.12 (0%),2.10 (0%),1.96 (1%),2.17 (0%),5.55 (0%),1.46 (0%)
마이크로소프트,,25.65 (2%),24.69 (2%),14.01 (1%),9.91 (1%),9.11 (1%),,5.07 (1%),18.02 (1%),9.52 (1%)
메타,,35.35 (3%),32.92 (2%),18.92 (2%),11.33 (1%),13.31 (1%),,26.06 (4%),28.42 (2%),14.64 (1%)
미디어텍,,10.40 (1%),12.35 (1%),4.20 (0%),3.54 (0%),5.60 (0%),,2.17 (0%),9.70 (1%),6.59 (1%)
벤츠,71.22 (39%),4.85 (0%),7.54 (1%),,,4.90 (0%),18.58 (9%),6.52 (1%),9.01 (1%),7.32 (1%)
비보,,12.48 (1%),13.03 (1%),9.81 (1%),24.79 (2%),23.12 (2%),,10.13 (2%),22.18 (1%),15.37 (2%)
삼성디스플레이,,56.14 (5%),70.65 (5%),49.04 (5%),89.23 (7%),93.18 (8%),,37.64 (6%),105.36 (6%),46.12 (5%)
삼성전자,,143.71 (10%),229.71 (13%),173.61 (15%),172.89 (11%),137.52 (9%),,79.93 (10%),210.89 (11%),141.90 (11%)
샤오미,,18.71 (2%),17.83 (1%),21.02 (2%),48.16 (4%),44.84 (4%),,20.27 (3%),38.82 (2%),33.67 (3%)
샤오펑,,2.77 (0%),2.74 (0%),2.80 (0%),3.54 (0%),4.20 (0%),,0.72 (0%),4.16 (0%),3.66 (0%)
샤프,,2.77 (0%),4.80 (0%),5.60 (1%),13.46 (1%),11.21 (1%),,5.79 (1%),16.64 (1%),10.25 (1%)
선익시스템,,0.69 (0%),2.06 (0%),1.40 (0%),0.71 (0%),0.70 (0%),,,3.47 (0%),
소니,,8.32 (1%),6.17 (0%),4.20 (0%),9.91 (1%),6.31 (1%),,2.17 (0%),11.78 (1%),8.78 (1%)
아마존,,25.65 (2%),12.35 (1%),7.01 (1%),7.08 (1%),6.31 (1%),,2.17 (0%),12.48 (1%),12.45 (1%)
아이씨디,,0.69 (0%),2.06 (0%),1.40 (0%),0.71 (0%),0.70 (0%),,,3.47 (0%),
알파벳,,12.48 (1%),10.29 (1%),7.01 (1%),6.37 (1%),7.01 (1%),,2.17 (0%),10.40 (1%),5.12 (1%)
애플,,99.71 (8%),100.82 (7%),85.33 (9%),148.72 (11%),113.28 (9%),,84.37 (13%),140.47 (8%),91.47 (9%)
엔비디아,,54.07 (4%),51.44 (4%),32.23 (3%),24.79 (2%),21.02 (2%),,10.13 (2%),39.51 (2%),28.55 (3%)
오포,,13.86 (1%),15.78 (1%),11.21 (1%),29.74 (2%),27.32 (2%),,10.86 (2%),26.34 (2%),17.57 (2%)
원익IPS,,7.62 (1%),20.58 (1%),9.11 (1%),8.50 (1%),8.41 (1%),,2.90 (0%),23.57 (1%),2.93 (0%)
인텔,,16.28 (1%),23.36 (1%),13.99 (1%),18.30 (1%),9.87 (1%),,6.80 (1%),22.79 (1%),11.18 (1%)
카카오,,2.08 (0%),5.49 (0%),1.40 (0%),0.71 (0%),2.10 (0%),,0.72 (0%),2.08 (0%),
퀄컴,,27.03 (2%),36.35 (3%),16.81 (2%),14.87 (1%),19.62 (2%),,12.31 (2%),39.51 (2%),23.43 (2%)
폭스바겐,,2.77 (0%),4.12 (0%),4.90 (1%),3.54 (0%),0.70 (0%),,0.72 (0%),1.39 (0%),3.66 (0%)
하이센스,,21.49 (2%),17.15 (1%),19.62 (2%),30.45 (2%),25.92 (2%),,13.03 (2%),28.42 (2%),32.21 (3%)
하이얼,,3.47 (0%),3.43 (0%),2.10 (0%),2.12 (0%),2.80 (0%),,1.45 (0%),2.77 (0%),3.66 (0%)
한미반도체,,10.40 (1%),30.18 (2%),9.81 (1%),6.37 (1%),7.71 (1%),,2.90 (0%),20.79 (1%),3.66 (0%)
한화,,24.95 (2%),17.15 (1%),7.71 (1%),8.50 (1%),6.31 (1%),7.82 (4%),,19.41 (1%),11.71 (1%)
한화시스템,,23.57 (2%),13.72 (1%),5.60 (1%),5.67 (0%),,5.87 (3%),4.34 (1%),13.86 (1%),9.52 (1%)
현대모비스,1.34 (1%),4.16 (0%),5.49 (0%),2.80 (0%),2.12 (0%),2.80 (0%),,,6.93 (0%),2.93 (0%)
현대자동차,1.34 (1%),8.32 (1%),9.60 (1%),7.71 (1%),6.37 (1%),6.31 (1%),,,8.32 (1%),9.52 (1%)
현대차,,27.72 (2%),31.14 (2%),15.15 (1%),13.01 (1%),17.42 (1%),3.17 (1%),,27.72 (2%),14.24 (1%)
화웨이,,7.62 (1%),10.97 (1%),7.01 (1%),11.33 (1%),11.91 (1%),,5.79 (1%),13.17 (1%),8.05 (1%)
