org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
...국산,1,1,0,0,0,0,0
10월,0,2,1,0,0,1,0
2020년,1,0,2,1,1,3,2
2023년,2,1,3,1,1,4,3
2025년,0,0,2,0,0,1,0
2종,0,2,1,0,0,1,0
2차전지,2,0,1,2,3,1,3
3년간,0,0,1,0,0,2,4
3분기,2,1,0,3,2,2,3
3종,2,4,1,1,2,0,0
4855억,2,1,0,3,2,2,3
4성,2,4,1,1,2,0,0
7호실,0,0,0,0,1,0,0
8.6세대,3,3,2,2,2,4,5
8월,0,0,2,0,0,1,0
AI,19,8,16,14,32,24,16
AMD,1,0,1,0,2,4,1
Apple,4,2,6,2,2,6,2
A씨,0,0,2,0,1,2,1
BOE,5,6,4,3,4,8,13
B씨,0,0,1,0,0,1,1
CBC뉴스,2,0,2,2,1,0,0
CCTV,0,0,0,0,0,3,1
Copyright,0,2,1,0,0,1,0
CPU,2,1,1,1,4,6,2
CSOT,1,2,1,1,1,2,2
Design,6,0,2,4,10,4,4
DUNK,0,2,1,0,0,1,0
ESS,2,0,1,2,3,1,3
ETERNA,4,2,6,2,2,6,2
FE,2,2,2,4,5,3,2
FIRST,0,2,1,0,0,1,0
GF,2,2,3,1,1,3,1
GF32-90mmT3.5,2,2,3,1,1,3,1
GFX,7,5,10,4,5,7,3
HPSP,2,0,0,1,2,1,4
HS효성더클래스,2,2,4,2,2,2,0
IDEA,34,0,5,26,20,6,10
iF,4,0,1,4,2,1,2
ITC,2,3,1,1,2,2,4
IT매체,3,3,0,2,1,2,0
IT용,3,3,2,2,2,4,5
JV,2,3,3,1,2,2,2
KBS,1,2,2,0,0,2,1
KODEX,1,0,1,1,2,4,2
KT,2,3,3,1,2,2,2
LCD,22,3,9,14,12,8,20
LG,4,0,1,4,2,1,2
LG디스플레,2,1,0,3,2,2,3
LG디스플레이,2,1,0,3,2,2,3
LG전자,11,7,12,12,13,13,16
LTPO,2,3,1,1,2,2,4
MBN,0,0,1,0,0,4,1
MC,0,0,1,0,0,4,1
NCT,0,0,2,0,0,1,0
NC다이노스,0,0,0,0,0,1,0
OLED,11,14,16,8,15,20,33
ProRes,4,2,6,2,2,6,2
Samsung,9,0,3,6,15,6,6
SLAM,0,2,1,0,0,1,0
TCL,1,0,2,1,1,3,2
THE,0,2,1,0,0,1,0
TIGER,1,0,1,1,2,4,2
TSMC,1,0,1,0,2,4,1
UI,2,1,0,1,2,2,0
XX,0,0,1,0,1,1,0
가격,6,11,9,6,10,12,16
가능,0,0,0,0,1,0,0
가능성,1,5,3,0,1,3,0
가능한,2,1,2,2,1,2,1
가방,1,0,2,2,1,2,0
가보자GO,0,0,1,0,0,4,1
가장,3,3,0,2,1,2,0
각각,2,0,0,1,2,1,4
각각각,2,0,0,1,2,1,4
간식,0,0,0,0,0,2,0
감각,1,3,2,0,1,2,0
감성,2,1,2,2,1,2,1
강조했다.,1,1,2,1,3,2,2
같다.,1,1,2,0,0,2,1
개그콘서트,1,2,2,0,0,2,1
개발,2,0,1,2,3,1,3
개인,0,0,2,0,0,1,0
개통,2,0,2,1,0,1,1
갤럭시,13,6,6,11,22,9,8
갤럭시S25용,1,2,1,2,3,2,0
거래,1,0,1,1,2,4,2
거래일,2,0,0,1,2,1,4
검사장비,2,0,1,2,3,1,3
것으로,7,4,5,6,9,15,13
것이,2,1,0,1,2,2,0
것이다.,1,0,2,2,1,2,0
게이밍,3,3,4,2,3,1,1
결제,1,1,2,0,2,4,0
결혼,1,1,3,0,0,3,2
결혼생활,1,1,2,0,0,2,1
결혼식,2,3,4,0,0,4,2
경기남부경찰청,0,1,1,0,0,1,1
경동나비엔,12,0,0,15,4,2,3
경직된,0,0,1,0,1,1,4
경험,3,0,1,2,5,2,2
계엄,0,0,1,0,1,5,1
계절,0,2,0,0,0,2,0
고객,8,5,8,7,6,5,4
고백했다.,0,0,1,0,0,3,1
고속도로,0,1,1,0,0,1,1
고속도로순찰대,0,1,1,0,0,1,1
고유무기,2,4,1,1,2,0,0
골프장,0,0,1,0,0,1,1
공간,0,0,0,0,0,2,0
공연,1,3,1,0,0,1,0
공정,3,1,3,3,4,3,7
공주,1,3,2,0,0,4,0
공주시,0,1,0,0,0,1,0
과수원,0,2,1,0,0,1,0
관광,0,1,1,0,0,1,1
관광객,0,1,1,0,0,1,1
관리,2,0,1,1,2,4,1
관세,1,1,2,1,2,2,4
광학,2,0,3,1,1,3,1
괴상하며,1,2,1,2,3,2,0
교사한,0,0,0,0,0,3,1
교수,1,0,0,0,1,2,0
교육,3,3,4,2,3,1,1
교인들,0,1,1,0,0,5,0
교통안전,0,1,0,0,0,1,0
교회,0,1,1,0,0,5,0
구글,1,1,2,0,2,4,0
구조,2,1,0,3,2,2,3
국민의힘,0,0,1,0,1,5,1
국방부,1,3,2,0,0,4,0
국제뉴스,1,0,0,0,1,2,0
국회,0,0,3,0,1,5,2
국회의원,0,0,1,0,1,5,1
권위,15,0,2,9,5,0,3
그냥,0,0,1,0,1,1,0
그녀,0,0,0,0,0,2,0
그는,1,2,2,0,0,2,1
그래서,0,1,1,0,0,5,0
그램,1,3,2,0,1,2,0
그러면,0,1,1,0,0,5,0
그런,0,1,1,0,0,5,0
그룹장,1,1,2,1,3,2,2
근데,0,1,1,0,0,5,0
글래스,3,3,0,2,1,2,0
기능,6,1,3,4,13,6,4
기동,1,1,0,0,0,0,0
기미,0,0,1,0,0,3,1
기반,5,3,4,3,5,2,1
기업들,1,2,1,1,1,2,2
기자,7,3,4,3,4,10,2
기존,5,0,0,3,1,0,1
기준,3,3,4,2,3,1,1
기지국,2,3,3,1,2,2,2
기탁,0,0,0,0,0,1,0
김병만,2,3,4,0,0,4,2
