org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
1상,0,3,2,0,0,0,0
2는,3,1,0,0,2,0,0
4회,2,0,2,2,0,1,3
8.6세대,4,0,1,2,1,0,4
9월,3,3,3,3,1,4,5
ADD,1,0,3,3,1,2,2
AI,19,22,13,11,8,8,5
AI안전DX,3,4,2,0,1,1,1
APEC,1,3,3,1,0,1,1
Avenue,1,0,3,3,1,2,2
BOE,2,0,0,0,1,0,4
CER,0,3,2,0,0,0,0
CJ메조미디어,2,3,1,3,0,0,0
Copyright,2,4,2,1,2,1,1
DRAM,0,2,1,2,1,1,1
EDITOR,1,0,2,4,5,4,0
FPT,3,2,3,2,1,0,2
GLP-1,1,3,3,1,0,1,1
HBM,0,1,0,0,0,0,0
i-point,1,3,3,1,0,1,1
IBC,5,3,2,2,2,1,1
INSTAGRAM,2,0,4,8,10,8,0
ISO,5,3,2,2,2,1,1
IT,3,2,3,2,1,0,2
LGD,2,0,0,0,1,0,4
LG디스플레,6,0,1,2,2,0,8
LG디스플레이,4,0,1,2,1,0,4
LG전자,2,2,2,2,3,3,1
LKB평산,3,4,2,0,1,1,1
Melrose,1,0,3,3,1,2,2
miLab,0,3,2,0,0,0,0
NAND,0,2,1,2,1,1,1
OLED,23,5,8,7,14,6,21
P-OLED,3,0,1,1,2,1,3
Pacific,1,0,3,3,1,2,2
PBV,3,1,0,0,2,0,0
SaMT,3,2,3,2,1,0,2
SK하이닉스,0,2,1,2,1,1,1
THE,1,0,3,3,1,2,2
WEB,2,1,5,8,3,5,2
가구,1,0,2,1,2,5,1
가시성,0,2,1,2,1,1,1
가치,3,2,2,1,1,1,0
감각적인,1,1,2,5,2,3,0
같은,2,0,5,4,3,7,3
개인전,3,3,3,3,1,4,5
갤러리,5,3,5,5,1,5,8
거래,6,0,4,1,2,0,7
거래일,4,0,4,1,1,0,3
건설현장,3,4,2,0,1,1,1
것으로,7,0,2,3,3,1,7
것이다.,3,3,3,3,1,4,5
것이라고,3,0,1,1,2,1,3
것이란,2,0,0,0,1,0,4
경구용,0,3,2,0,0,0,0
경쟁,0,1,0,0,0,0,0
경제,3,3,1,0,1,0,0
경제적,3,3,1,0,1,0,0
고객사,3,0,1,1,2,1,3
골든피스,1,0,2,4,5,4,0
공간,1,0,2,1,2,5,1
공간에,1,0,2,1,2,5,1
공정위,3,3,1,0,1,0,0
관람객,2,0,2,2,0,1,3
관심,0,2,1,2,1,1,1
교체,0,2,1,2,1,1,1
구글,0,1,1,0,0,0,0
근육,1,1,2,5,2,3,0
기관,3,4,2,0,1,1,1
기기,5,0,1,2,5,1,4
기능,7,7,4,3,7,4,2
기반,3,6,2,0,0,0,0
기아,5,5,2,1,4,1,1
기업집단,3,3,1,0,1,0,0
기자,2,1,1,0,1,0,4
기존,3,1,0,0,2,0,0
김하연,0,1,1,0,0,0,0
나잇,3,3,3,3,1,4,5
내비게이션,3,1,0,0,2,0,0
노을,0,3,2,0,0,0,0
농가들,3,3,0,0,0,0,0
다과,2,0,4,8,10,8,0
다른,1,0,2,1,2,5,1
다양한,3,2,2,1,1,1,0
다이아몬드,2,1,2,1,2,1,1
대규모,4,0,1,2,1,0,4
대담한,2,1,2,1,2,1,1
대비,6,0,4,1,2,0,7
대응,3,4,2,0,1,1,1
대전환,3,3,1,0,1,0,0
대표,1,3,3,1,0,1,1
대형주,0,2,1,2,1,1,1
데이터,3,3,0,0,0,0,0
돕는다.,1,1,2,5,2,3,0
동사,3,0,1,1,2,1,3
디스플레,15,8,5,5,11,3,6
디저트,2,0,4,8,10,8,0
디즈니,4,0,4,1,1,0,3
또한,0,3,2,0,0,0,0
라고,1,3,3,1,0,1,1
레몬,1,0,2,4,5,4,0
로봇,2,2,2,2,3,3,1
롤러블,5,0,1,2,5,1,4
리얼,5,3,2,2,2,1,1
마감했다.,4,0,4,1,1,0,3
마쳤다.,4,0,4,1,1,0,3
마케팅,3,2,2,1,1,1,0
만드,2,1,2,1,2,1,1
만큼,4,2,3,0,3,3,5
매트,1,1,2,5,2,3,0
메모리,3,2,3,2,1,0,2
메타,2,3,1,3,0,0,0
메트로신문,9,6,5,5,10,5,6
모델,4,2,3,0,3,3,5
모든,1,0,3,3,1,2,2
물건,1,0,2,1,2,5,1
물량,4,2,3,0,3,3,5
믜요,1,0,2,4,5,4,0
미디어,2,3,1,3,0,0,0
미래,3,3,0,0,0,0,0
미술,2,0,2,2,0,1,3
반도체,3,4,4,4,2,1,3
발전,1,3,3,1,0,1,1
밝혔다.,2,3,1,3,0,0,0
밸런스,1,1,2,5,2,3,0
법무법인,3,4,2,0,1,1,1
베이글랩스,1,3,3,1,0,1,1
베트남,3,5,5,2,1,0,2
벽을,1,0,2,1,2,5,1
보다,4,0,4,1,1,0,3
보드,1,1,2,5,2,3,0
볼리,2,2,2,2,3,3,1
북미,3,0,1,1,2,1,3
불공정한,3,3,1,0,1,0,0
블랙,7,4,4,3,4,2,2
비만,1,3,3,1,0,1,1
비슷한,1,0,2,1,2,5,1
비전,1,3,3,1,0,1,1
산업,3,3,0,0,0,0,0
삼성디스플레,4,2,3,0,3,3,5
삼성디스플레이,8,2,4,2,4,3,9
삼성전자,10,7,7,6,6,4,4
삼성전자판매,5,3,2,2,2,1,1
상승한,6,0,4,1,2,0,7
서버,0,2,1,2,1,1,1
성과,2,3,1,3,0,0,0
성능,4,2,3,0,3,3,5
성장,3,2,2,1,1,1,0
세계,5,3,5,5,1,5,8
세대,2,0,2,2,0,1,3
세트,2,0,4,8,10,8,0
소비자,6,5,3,1,2,1,0
소형,9,2,4,2,8,4,9
솔루션,5,7,3,3,1,1,1
수납,1,0,2,1,2,5,1
수요,9,2,3,6,7,2,9
수익성,4,2,3,0,3,3,5
스마트폰,12,2,5,3,10,5,12
스테인리스,1,1,2,5,2,3,0
스피드,2,1,2,1,2,1,1
시간,2,1,2,1,2,1,1
시넥스,3,2,3,2,1,0,2
시스템,3,3,1,0,1,0,0
신약,1,3,3,1,0,1,1
