org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
123건,2,2,2,1,0,4,1
1위,2,4,1,4,2,1,5
66만2000건,2,1,4,3,2,2,2
7월부터,2,1,4,3,2,2,2
8은,1,3,1,2,1,0,2
AI,17,19,13,9,8,8,11
DB,0,0,0,1,0,1,1
HB테크놀러지,3,5,4,4,4,1,4
HD한국조선해양,0,1,2,2,2,1,5
KB금융,2,5,3,1,2,1,2
KODEX,4,4,4,4,4,2,4
LG디스플레,2,2,3,3,3,0,5
LG디스플레이,1,2,1,4,1,0,5
LG전자,0,1,3,5,3,0,3
MOU,3,1,3,1,1,2,2
OLED,5,9,8,16,9,1,18
P-OLED,2,2,3,3,3,0,5
PC,2,2,1,4,2,1,3
SK에어플러스,3,1,3,1,1,2,2
Sleep,3,3,2,1,0,0,1
SUS,1,2,1,4,1,0,5
TIGER,4,4,4,4,4,2,4
UI,1,3,1,2,1,0,2
가스안전,7,3,6,2,3,3,4
가스안전공사,3,1,3,1,1,2,2
가운데,4,2,3,1,2,1,2
가장,0,0,0,1,0,1,1
가전,2,1,4,3,2,2,2
감가상각,1,2,1,4,1,0,5
감사원,2,2,2,1,0,4,1
감소했다.,1,0,2,2,4,0,2
강세,0,1,2,2,2,1,5
강좌,1,1,1,1,1,1,2
강화,4,3,4,1,2,4,2
강화해,3,1,3,1,1,2,2
개헌,2,2,2,1,0,4,1
갤럭시,1,3,1,2,1,0,2
거래일,3,5,4,4,4,1,4
검증,3,3,2,1,0,0,1
것으로,5,6,5,8,5,2,9
결선투표제,2,2,2,1,0,4,1
경기도,5,5,6,4,6,4,3
경기도의원,4,5,4,2,2,4,1
경기도의회,4,5,4,2,2,4,1
경남,3,3,3,0,0,3,0
계기,4,5,2,1,1,1,1
공급망,2,2,1,4,2,1,3
공동,8,6,5,3,3,5,4
공식,5,4,2,2,3,2,3
관계자,3,3,4,0,0,5,0
관계자들,2,2,1,4,2,1,3
관내,4,5,2,1,1,1,1
관련,4,5,4,2,2,4,1
관한,4,5,4,2,2,4,1
광역정치,4,5,4,2,2,4,1
교류,4,3,2,2,2,2,3
교수,3,3,2,1,0,0,1
교육,7,3,6,2,3,3,4
국민,4,3,6,4,2,6,3
국민주권,2,2,2,1,0,4,1
국정과제,2,2,2,1,0,4,1
국정과제에,3,3,4,0,0,5,0
국제,4,3,2,2,2,2,3
국토교통,3,3,4,0,0,5,0
국토균형,3,3,4,0,0,5,0
그라운드서울에서,0,0,0,1,0,1,1
금속봉지,1,2,1,4,1,0,5
금지,0,0,0,1,0,1,1
기관,4,2,3,1,2,1,2
기기,1,3,1,2,1,0,2
기능,1,3,1,2,1,0,2
기록하면서,1,0,2,2,4,0,2
기록해,1,0,2,2,4,0,2
기반,8,11,5,3,5,3,5
기아,0,2,3,1,2,2,2
기업들,2,4,1,4,2,1,5
기자,8,4,7,3,4,4,6
기준,2,4,1,4,2,1,5
기후위기,2,5,3,1,2,1,2
긴장에,0,1,2,2,2,1,5
김해,3,3,3,0,0,3,0
까르마,2,5,3,1,2,1,2
꿈과,3,3,3,0,0,3,0
남북,2,2,2,1,0,4,1
내가,0,0,0,1,0,1,1
내수,2,1,4,3,2,2,2
네트워크,1,4,1,1,0,0,1
노을,4,4,4,4,4,2,4
뉴스토마토,2,4,1,4,2,1,5
늘었다.,1,0,2,2,4,0,2
다빈치모텔,0,2,3,1,2,2,2
다시,3,3,3,0,0,3,0
달러,1,0,2,2,4,0,2
대비,8,9,10,10,12,3,10
대통령,2,2,2,1,0,4,1
대표,4,5,2,1,1,1,1
대형,1,2,1,4,1,0,5
데이터,1,4,1,1,0,0,1
도내,4,5,4,2,2,4,1
도시,4,5,2,1,1,1,1
도입,2,2,2,1,0,4,1
동반,0,1,2,2,2,1,5
동사,2,2,3,3,3,0,5
디스플레,11,16,11,15,12,7,17
따르면,2,3,6,8,6,0,8
땡겨요,2,5,3,1,2,1,2
랠리,0,2,3,1,2,2,2
로오딘,4,3,2,2,2,2,3
마감했다.,4,4,4,4,4,2,4
마음,1,1,1,1,1,1,2
마케팅,2,5,3,1,2,1,2
만남,4,3,2,2,2,2,3
