term,cur,prev,diff,ma7,z_like,total
6세대,10,0,10,1.714,3.588,12
사장,7,0,7,1.0,3.0,7
양산,7,0,7,1.0,3.0,7
제16회,7,0,7,1.0,3.0,7
체험존,6,0,6,1.0,2.5,7
내년,6,0,6,1.143,2.348,8
실적,6,1,5,1.143,2.348,9
ap시스템,5,0,5,0.714,2.323,5
도쿄게임쇼,5,0,5,0.714,2.323,5
디스플레이의,5,0,5,0.714,2.323,5
마이크로,5,0,5,0.714,2.323,6
이청,5,0,5,0.714,2.323,5
정철동,5,0,5,0.714,2.323,5
lg디스플레이,7,0,7,2.0,2.071,15
led,5,0,5,1.0,2.0,9
운영,6,1,5,1.571,1.965,12
2030년,4,0,4,0.571,1.953,4
3분기,4,0,4,0.571,1.953,4
개선,4,0,4,0.571,1.953,4
공급,4,0,4,0.571,1.953,7
비전옥스,4,0,4,0.571,1.953,4
스마트워치,4,0,4,0.571,1.953,4
클레녹스,4,0,4,0.571,1.953,4
삼성d,6,1,5,1.714,1.856,12
도입,4,1,3,0.714,1.781,5
lgd,5,1,4,1.286,1.741,10
clenox,3,0,3,0.429,1.554,3
게임,3,0,3,0.429,1.554,4
롤러블,3,0,3,0.429,1.554,3
신분증,3,0,3,0.429,1.554,3
윤수영,3,0,3,0.429,1.554,3
특허,3,0,3,0.429,1.554,4
하반기,5,0,5,1.571,1.521,13
rpg,3,0,3,0.571,1.383,4
최초,3,1,2,0.571,1.383,6
추진,3,1,2,0.571,1.383,7
장비,4,0,4,1.286,1.272,9
흑자,3,0,3,0.714,1.239,5
12억달러,2,0,2,0.286,1.117,2
12억불,2,0,2,0.286,1.117,2
2025서,2,0,2,0.286,1.117,2
3q,2,0,2,0.286,1.117,2
complex,2,0,2,0.286,1.117,2
ela,2,0,2,0.286,1.117,2
gv90,2,0,2,0.286,1.117,2
nb,2,0,2,0.286,1.117,2
국무총리표창,2,0,2,0.286,1.117,2
도쿄게임쇼서,2,0,2,0.286,1.117,2
라닉스,2,0,2,0.286,1.117,2
류현진,2,0,2,0.286,1.117,2
미래는,2,0,2,0.286,1.117,2
부사장,2,0,2,0.286,1.117,2
불법이민,2,0,2,0.286,1.117,2
사업의,2,0,2,0.286,1.117,2
삼현,2,0,2,0.286,1.117,2
선물,2,0,2,0.286,1.117,2
성수기,2,0,2,0.286,1.117,2
세제,2,0,2,0.286,1.117,2
수장,2,0,2,0.286,1.117,2
신작게임,2,0,2,0.286,1.117,2
앞세워,2,0,2,0.286,1.117,2
양대,2,0,2,0.286,1.117,2
연간,2,0,2,0.286,1.117,2
유진로봇,2,0,2,0.286,1.117,2
일관된,2,0,2,0.286,1.117,2
자율주행차,2,0,2,0.286,1.117,2
체결,2,0,2,0.286,1.117,3
탑재하나,2,0,2,0.286,1.117,2
포토,2,0,2,0.286,1.117,2
홈케어,2,0,2,0.286,1.117,2
프리미엄,3,0,3,0.857,1.113,7
단독,3,0,3,1.0,1.0,8
전망,3,1,2,1.0,1.0,9
10,2,0,2,0.429,0.95,4
도움,2,1,1,0.429,0.95,3
막는,2,0,2,0.429,0.95,3
미국,2,0,2,0.429,0.95,6
엘리트,2,0,2,0.429,0.95,3
이벤트,2,1,1,0.429,0.95,4
인도네시아,2,0,2,0.429,0.95,3
전환,2,0,2,0.429,0.95,5
제네시스,2,0,2,0.429,0.95,6
it,2,0,2,0.571,0.814,5
xr,2,0,2,0.571,0.814,4
라인,2,1,1,0.571,0.814,5
르포,2,0,2,0.571,0.814,5
스냅드래곤,2,0,2,0.571,0.814,4
없는,2,0,2,0.571,0.814,5
퀄컴,2,0,2,0.571,0.814,4
