org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
10Gbps,2,2,0,3,2,3,3
16S,1,1,0,2,2,4,1
1c,2,2,0,3,2,3,3
256GB,1,1,0,1,1,4,2
2분기,2,3,2,1,0,1,1
3대,1,0,1,5,0,1,2
48MP,1,1,0,1,1,4,2
7월,2,1,1,0,0,1,0
9월,2,1,1,0,0,1,0
AI,14,5,14,25,14,17,16
Air,1,1,0,1,1,4,2
all,1,1,0,0,0,1,0
and,2,2,1,1,0,3,1
as,1,1,1,1,0,2,1
automotive,1,1,1,1,0,2,1
BOE,2,3,2,1,0,1,1
CAPA,5,2,1,2,1,1,2
categories,1,1,0,0,0,1,0
CEO스코어데일리,2,3,2,1,0,1,1
CJ제일제당,0,0,2,2,1,2,2
Company,0,0,1,1,1,1,1
Consumer,1,1,0,0,0,1,0
DDI,3,5,2,1,2,4,0
Display,1,1,1,1,0,2,1
D램,2,2,0,3,2,3,3
Electronics,1,1,0,0,0,1,0
EU,0,1,0,1,0,1,4
GPU,2,0,4,5,1,1,2
HBM,2,2,0,3,2,3,3
HK,0,0,1,1,1,1,1
Hohem,1,0,2,3,3,2,1
HS사업본부장,2,1,0,0,0,0,1
in,2,2,1,1,0,3,1
iPhone,1,1,0,1,1,4,2
is,1,1,1,1,0,2,1
iSteady,1,0,2,3,3,2,1
KREAM,0,0,2,2,1,2,2
LCD,3,5,2,1,2,4,0
Lee,1,1,1,1,0,2,1
LG,3,2,0,0,0,1,1
LG디스플레,2,3,2,1,0,1,1
LG전자,2,1,0,0,0,0,1
LLM,2,0,4,5,1,1,2
LX세미콘,3,5,2,1,2,4,0
market,1,1,1,1,0,2,1
Max,1,1,0,1,1,4,2
NH투자증권,5,2,1,3,2,5,3
of,1,1,1,1,0,2,1
OLED,17,15,10,12,10,17,10
on,1,1,1,1,0,2,1
Pro,1,1,0,1,1,4,2
Reports,1,1,0,0,0,1,0
Samsung,1,1,1,1,0,2,1
SK하이닉스,7,4,1,6,4,8,6
Solar,2,0,4,5,1,1,2
spot,1,1,0,0,0,1,0
survey,1,1,0,0,0,1,0
the,2,2,1,1,0,3,1
The,1,0,2,3,5,2,2
to,1,1,1,1,0,2,1
top,1,1,0,0,0,1,0
top-load,1,1,0,0,0,1,0
Ultra,1,0,2,3,3,2,1
USB,1,1,0,2,2,4,1
various,1,1,1,1,0,2,1
washers,1,1,0,0,0,1,0
Westin,1,0,2,3,5,2,2
year,1,1,0,0,0,1,0
가격,1,1,0,1,4,4,3
가치,1,0,2,3,5,2,2
가톨릭관동대학교,1,0,4,3,1,1,2
각국,0,1,0,1,0,1,4
강국,1,0,1,5,0,1,2
강남구,0,0,0,0,3,0,1
강조했다.,5,3,4,5,5,5,5
강형근,0,0,1,1,1,1,1
갖췄다.,1,0,2,3,5,2,2
같은,2,1,0,0,0,0,1
개발,2,2,0,3,2,3,3
건축공학전공,1,0,4,3,1,1,2
것으로,10,9,4,8,5,10,5
것이,0,0,1,1,1,1,1
게이밍,1,1,0,2,2,4,1
게임,1,1,0,2,2,4,1
경상국립대학교,3,3,4,5,4,4,5
경제동향,2,1,1,0,0,1,0
고객,1,0,3,4,6,3,3
고도화,5,2,1,2,1,1,2
골드바,0,0,2,2,1,2,2
골든,0,0,2,2,1,2,2
공간,2,0,4,6,10,4,4
공개한,0,0,0,0,3,0,1
공개했다.,0,0,1,3,2,2,2
공식,1,0,2,3,3,2,1
공정,3,1,1,4,1,2,2
과정,1,0,2,1,0,0,1
과정에서,3,1,1,4,1,2,2
관세,2,1,1,0,0,1,0
관심,0,0,2,2,1,2,2
교수,4,3,8,8,5,5,7
교육,3,3,4,5,4,4,5
구체적인,1,0,1,5,0,1,2
구축,2,2,0,3,2,3,3
국가,1,0,1,5,0,1,2
국제,1,0,4,3,1,1,2
기능,2,1,2,4,5,7,3
기록했다.,2,1,1,0,0,1,0
기반,0,0,1,3,2,2,2
기여,1,0,4,3,1,1,2
기자,2,3,2,1,0,1,1
기획재정부,2,1,1,0,0,1,0
내년,3,5,2,1,2,4,0
내수,2,1,1,0,0,1,0
네오,1,1,0,2,2,4,1
노트북,1,1,0,2,2,4,1
높은,2,1,0,0,0,0,1
뉴모델,0,0,0,0,3,0,1
다이닝,1,0,2,3,5,2,2
단자,1,1,0,2,2,4,1
대미,0,1,0,1,0,1,4
대비,7,9,5,2,2,6,1
대상으로,1,0,2,1,0,0,1
대표,1,0,3,4,6,3,3
대표이사,2,1,0,0,0,0,1
대한,0,1,0,1,0,1,4
대해,0,1,0,1,0,1,4
대형,3,5,2,1,2,4,0
도약,1,0,1,5,0,1,2
동시에,5,2,1,2,1,1,2
동향,0,1,0,1,0,1,4
두산밥캣,5,2,1,3,2,5,3
두산에너빌리티,5,2,1,3,2,5,3
두산퓨얼셀,5,2,1,3,2,5,3
디자인,5,3,4,5,8,5,6
따르면,2,3,2,1,0,1,1
라운지,2,0,4,6,10,4,4
류재철,2,1,0,0,0,0,1
말했다.,5,3,4,5,5,5,5
맞춤형,2,0,4,5,1,1,2
매수,5,2,1,3,2,5,3
매출,2,1,0,0,0,0,1
맥스,0,0,0,0,1,1,0
모델,8,4,8,11,7,10,9
모아보기,2,1,0,0,0,0,1
미국,2,1,1,0,0,1,0
미디어,0,0,1,3,2,2,2
미래,0,0,1,3,2,2,2
미세먼지,2,1,4,4,4,1,4
박사,2,0,6,4,1,1,3
박사후연구원,1,0,4,3,1,1,2
반도체,5,2,2,4,1,3,2
받았다.,2,1,0,0,0,0,1
밝혔다.,8,6,8,10,9,9,10
배터리,0,0,0,0,1,1,0
베스파,0,0,0,0,3,0,1
보고,0,1,0,1,0,1,4
본딩,2,2,0,3,2,3,3
부문,5,2,1,3,2,5,3
부사장,5,3,4,5,5,5,5
부총리,0,1,0,1,0,1,4
분기,2,3,2,1,0,1,1
불확실성,0,1,0,1,0,1,4
블루,0,0,0,0,1,1,0
비율,0,1,0,0,0,1,0
비전,2,0,4,5,1,1,2
사업,7,3,5,7,6,6,7
사유진,2,3,2,1,0,1,1
사장,2,1,0,0,0,0,1
사진,4,4,4,6,5,8,7
산업,5,1,5,9,2,3,4
삼성전자,10,10,3,7,6,13,6
상반기,2,1,0,0,0,0,1
새로운,0,0,1,1,2,2,1
생산,13,5,3,9,4,8,7
생태계,0,0,1,3,2,2,2
서울경제TV,2,1,4,4,4,1,4
선정,2,1,4,4,4,1,4
설루션,0,0,1,3,2,2,2
설비,7,3,5,6,5,2,6
성과,4,3,8,8,5,5,7
성능,2,2,0,3,3,8,3
성장,0,0,1,1,1,1,1
소니,0,0,1,3,2,2,2
소재,5,2,1,2,1,1,2
소프트웨어,0,0,1,3,2,2,2
속도,2,2,0,3,2,3,3
속에,0,0,1,1,1,1,1
속자생존,0,0,1,1,1,1,1
손잡고,1,0,2,3,5,2,2
솔라,2,0,4,5,1,1,2
솔루션,2,0,4,5,1,1,2
수도권,2,1,4,4,4,1,4
수량,0,0,2,2,1,2,2
수명,0,0,0,0,1,1,0
수요,8,3,2,7,3,7,5
수출,2,1,1,0,0,1,0
스팸,0,0,2,2,1,2,2
스프린트,0,0,0,0,3,0,1
시스템,0,0,0,0,3,0,1
신모델,0,0,0,0,3,0,1
심층기획,2,3,2,1,0,1,1
씨이랩,2,0,4,5,1,1,2
아이폰,1,1,0,1,2,5,2
안전성,0,0,0,0,3,0,1
애플,0,0,0,0,1,1,0
양산,2,2,0,3,2,3,3
양성,3,3,4,5,4,4,5
어플라이언스,2,0,4,5,1,1,2
업스테이지,2,0,4,5,1,1,2
에디션,0,0,2,2,1,2,2
에서,0,0,2,2,1,2,2
에스켐,5,2,1,2,1,1,2
에어,0,0,0,0,1,1,0
에어팟,0,0,0,0,1,1,0
엔비디아,2,2,0,3,2,3,3
엔투텍,3,1,1,4,1,2,2
여인창,1,0,2,3,5,2,2
연구,4,3,8,8,5,5,7
연구팀,1,0,4,3,1,1,2
열린,5,3,4,5,5,5,5
영상,1,1,0,1,1,4,2
영업이익,2,1,0,0,0,0,1
영주권,1,0,4,3,1,1,2
예상된다.,2,2,0,3,2,3,3
예정이다.,1,0,1,5,0,1,2
올해,5,6,2,1,2,4,1
완판되,0,0,2,2,1,2,2
우수환경산업체,2,1,4,4,4,1,4
운영,1,0,2,3,5,2,2
울트라,1,1,0,2,2,4,1
워치,0,0,0,0,1,1,0
원이다.,0,0,0,0,3,0,1
웨스틴,2,0,4,6,10,4,4
웰니스,2,0,4,6,10,4,4
위기,0,0,1,1,1,1,1
위한,1,0,1,5,0,1,2
위해,5,3,4,5,5,5,5
의원,1,0,1,5,0,1,2
이끄,0,0,1,1,1,1,1
이번,16,9,14,21,14,12,18
이웅균,1,0,4,3,1,1,2
인텔,1,1,0,2,2,4,1
있는,1,0,2,3,5,2,2
있다,5,3,4,5,5,5,5
있다.,20,11,13,22,16,21,14
있다고,0,1,0,1,0,1,4
장비,3,1,1,4,1,2,2
재경관들,0,1,0,1,0,1,4
전년,3,5,2,1,2,4,0
전체,3,5,2,1,2,4,0
전했다.,0,1,0,1,0,1,4
점유율,2,3,2,1,0,1,1
정부,1,1,1,6,0,2,6
정제,5,2,1,2,1,1,2
정책,1,0,1,5,0,1,2
정현정,1,0,2,1,0,0,1
제공,3,3,4,5,4,4,5
제안,1,0,1,5,0,1,2
제어,1,0,2,3,3,2,1
제작,0,0,1,3,2,2,2
제품,3,1,1,4,1,2,2
조주완,2,1,0,0,0,0,1
종속기업,5,2,1,3,2,5,3
주가,3,1,1,4,1,2,2
주관,2,1,4,4,4,1,4
주력,2,1,1,0,0,1,0
주제,0,0,1,1,1,1,1
중국,3,5,2,1,2,4,0
증가했다.,2,1,1,0,0,1,0
지난,10,7,12,14,13,10,14
지역사회,1,0,4,3,1,1,2
진공,3,1,1,4,1,2,2
진출,2,1,4,4,4,1,4
진행했다.,1,0,2,1,0,0,1
짐벌,1,0,2,3,3,2,1
짠반티엔시,1,0,4,3,1,1,2
차세대,1,0,2,3,3,2,1
창업,3,3,4,5,4,4,5
첨단,1,0,2,1,0,0,1
총장,3,3,4,5,4,4,5
촬영,1,0,2,3,3,2,1
최고,0,0,0,0,1,1,0
최신,0,0,1,3,2,2,2
추적,1,0,2,3,3,2,1
출시된다.,0,0,0,0,1,1,0
출하량,3,5,2,1,2,4,0
취득,1,0,4,3,1,1,2
친환경,2,1,4,4,4,1,4
칩은,1,1,0,1,1,4,2
카메라,1,1,0,1,2,5,2
카운터포인트리서치에,2,3,2,1,0,1,1
콘텐츠,0,0,1,3,2,2,2
크림,0,0,2,2,1,2,2
클라우드,0,0,1,3,2,2,2
클럽,2,0,4,6,10,4,4
터치스크린,1,0,2,3,3,2,1
테크,0,0,0,0,3,0,1
토론회,1,0,1,5,0,1,2
